,Unnamed: 0,country,population,year,quarter,new_cases,percentage
547608,547608,Germany,84086228.0,2022,Q1,13552068.0,16.11686993499102
547609,547609,Germany,84086228.0,2022,Q2,7311529.0,8.69527528336745
547610,547610,Germany,84086228.0,2022,Q3,5123988.0,6.0937303549875015
547611,547611,Germany,84086228.0,2022,Q4,4240308.0,5.042809150625713
547612,547612,Germany,84086228.0,2023,Q1,1092284.0,1.2990046360505074
547613,547613,Germany,84086228.0,2023,Q2,102437.0,0.1218237545392094
547614,547614,Germany,84086228.0,2023,Q3,1099.0,0.0013069916752598
547615,547615,Germany,84086228.0,2023,Q4,0.0,0.0
547616,547616,Germany,84086228.0,2024,Q1,0.0,0.0
547617,547617,Germany,84086228.0,2024,Q2,0.0,0.0
547618,547618,Germany,84086228.0,2024,Q3,0.0,0.0
547619,547619,Germany,84086228.0,2024,Q4,0.0,0.0
584100,584100,Gibraltar,37631.0,2020,Q1,61.0,0.1621003959501474
584101,584101,Gibraltar,37631.0,2020,Q2,108.0,0.286997422337966
584102,584102,Gibraltar,37631.0,2020,Q3,205.0,0.5447636257341022
584103,584103,Gibraltar,37631.0,2020,Q4,1411.0,3.749568175174723
584104,584104,Gibraltar,37631.0,2021,Q1,2480.0,6.590311179612554
584105,584105,Gibraltar,37631.0,2021,Q2,81.0,0.2152480667534745
584106,584106,Gibraltar,37631.0,2021,Q3,1195.0,3.175573330498791
584107,584107,Gibraltar,37631.0,2021,Q4,2992.0,7.950891552177726
584108,584108,Gibraltar,37631.0,2022,Q1,8321.0,22.112088437724218
584109,584109,Gibraltar,37631.0,2022,Q2,2452.0,6.515904440487896
584110,584110,Gibraltar,37631.0,2022,Q3,786.0,2.088703462570753
584111,584111,Gibraltar,37631.0,2022,Q4,213.0,0.566022694055433
584112,584112,Gibraltar,37631.0,2023,Q1,157.0,0.4172092158061173
584113,584113,Gibraltar,37631.0,2023,Q2,88.0,0.233849751534639
584114,584114,Gibraltar,37631.0,2023,Q3,0.0,0.0
584115,584115,Gibraltar,37631.0,2023,Q4,0.0,0.0
584116,584116,Gibraltar,37631.0,2024,Q1,0.0,0.0
584117,584117,Gibraltar,37631.0,2024,Q2,0.0,0.0
