ISO2,country,year,cases,percentage_cases,vaccines,percentage_vaccines
AL,Albania,2021,151753,5.366819740311181,1141486,40.36921575249813
AL,Albania,2022,123869,4.380688318600658,200757,7.099870385466196
AL,Albania,2023,1828,0.064648122180707,7012,0.2479828406625371
AD,Andorra,2021,15139,18.989739344221167,56509,70.88256692004717
AD,Andorra,2022,24629,30.89360527834224,816,1.0235568600888083
AD,Andorra,2023,264,0.3311507488522616,12,0.0150523067660118
AT,Austria,2021,911872,10.059617113854776,6675453,73.64246433878134
AT,Austria,2022,4436317,48.940696079806024,190540,2.1020049358614905
AT,Austria,2023,381324,4.206701638304015,2108,0.023255098167293
BY,Belarus,2020,192361,2.0969796825353217,0,0.0
BY,Belarus,2021,505239,5.507748024934698,4356041,47.48639003379503
BY,Belarus,2022,296437,3.2315405209565515,2081798,22.694247322184165
BY,Belarus,2023,0,0.0,98553,1.07435311031292
BE,Belgium,2020,645277,5.542753521294321,590,0.0050679391603352
BE,Belgium,2021,1451435,12.46743097488338,8938845,76.78224173502873
BE,Belgium,2022,2588192,22.23186371401087,319784,2.746857383811267
BE,Belgium,2023,163841,1.407349525370318,2087,0.0179267610637621
BA,Bosnia and Herzegovina,2021,179486,5.600527957239208,882641,27.541176452233447
BA,Bosnia and Herzegovina,2022,110622,3.451754474921251,60753,1.8956847608512843
BG,Bulgaria,2020,197384,2.891707612649126,2889,0.0423243185513685
BG,Bulgaria,2021,536498,7.85978271172451,1899535,27.828495825363035
BG,Bulgaria,2022,546735,8.00975642200847,200609,2.938954385694527
BG,Bulgaria,2023,42961,0.6293856176134798,51111,0.7487844394181365
HR,Croatia,2020,208446,5.335150911267405,0,0.0
HR,Croatia,2021,501232,12.828974226209109,2251529,57.62762056405491
HR,Croatia,2022,553839,14.175444218384753,61279,1.5684288146165208
HR,Croatia,2023,46211,1.1827651226724334,2353,0.060224758902604
CY,Cyprus,2021,139432,10.472774032279386,636989,47.84441059475309
CY,Cyprus,2022,469332,35.25164942135054,30079,2.259241566619798
CY,Cyprus,2023,44364,3.3321916573529937,224,0.0168246986576294
DK,Denmark,2020,161230,2.7313702523743424,9,0.0001524674829211
DK,Denmark,2021,622472,10.545193225429273,4693559,79.51279185240877
DK,Denmark,2022,2604737,44.12641045127326,52089,0.8824309686530243
DK,Denmark,2023,43907,0.743821085846308,863,0.0146199375289899
EE,Estonia,2020,31031,2.298435958438388,2284,0.1691736563137919
EE,Estonia,2021,195778,14.501085851927128,839636,62.191021056342834
EE,Estonia,2022,367408,27.213552854175862,26432,1.957792505992184
EE,Estonia,2023,14364,1.0639274953114306,1535,0.113695955534882
EE,Estonia,2024,5543,0.4105646133744959,124,0.009184559274479
FO,Faroe Islands,2021,5161,9.55050981698403,37444,69.2906974592424
FO,Faroe Islands,2022,28889,53.459538481467085,278,0.5144432724513777
FI,Finland,2021,327023,5.8718880060129655,4275196,76.76362860029602
FI,Finland,2022,1091346,19.595751637683662,248685,4.4652836918973104
FI,Finland,2023,42257,0.7587489915696751,305,0.0054764522429124
FI,Finland,2024,0,0.0,35,0.0006284453393506
FR,France,2020,2338258,3.5279862768328973,2007,0.0030281810038086
FR,France,2021,6371668,9.613634280107377,53227807,80.31062981155631
FR,France,2022,29279621,44.17737524211115,1414026,2.1334960996968317
FR,France,2023,1007943,1.5207941432595466,33224,0.050128692411828
DE,Germany,2020,1660177,1.974374448096304,182500,0.2170391089489708
DE,Germany,2021,5353865,6.367112816619626,62549049,74.38679375652336
DE,Germany,2022,30227893,35.94868472397169,2108304,2.5073118989235668
