country,year,cases,percentage_cases,vaccines,percentage_vaccines
Sweden,2021,878413,8.375942672936961,7591963,72.39174154191538
Sweden,2022,1354059,12.911376038121416,178978,1.7066112042022505
Sweden,2023,66386,0.6330112717885472,3372,0.03215307457100866
Switzerland,2020,451142,5.131173383620444,6279,0.07141573534663759
Switzerland,2021,883690,10.050863380867998,5960217,67.78997927703936
Switzerland,2022,3045631,34.64022574606071,128854,1.4655523431048956
Switzerland,2023,66478,0.7561037194415946,1560,0.017743039837673932
Ukraine,2021,2617976,6.377721406345774,14713150,35.84309852717379
Ukraine,2022,1709592,4.1647828301395755,1060991,2.58470857358517
Ukraine,2023,210004,0.5115963653670768,492898,1.2007620107078978
United Kingdom,2021,10878146,15.955199901905731,49500198,72.60295589652081
United Kingdom,2022,10752848,15.771422754834072,2020194,2.9630599838088725
