country,measure,description,date_start,date_end
Austria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-04-14,2020-05-01
Austria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2020-12-07,2020-12-25
Austria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2021-02-08,2021-11-21
Austria,NonEssentialShopsPartial,Closures of non-essential shops - partially relaxed measure,2021-12-12,2022-03-04
Austria,OutdoorOver100,Interventions are in place to limit outdoor mass/public gatherings of over 100 participants,2020-09-14,2020-11-02
Austria,OutdoorOver1000,Interventions are in place to limit outdoor mass/public gatherings of over 1000 participants,2020-08-01,2020-09-13
Austria,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2020-03-11,2020-07-31
Austria,OutdoorOver500,Interventions are in place to limit outdoor mass/public gatherings of over 500 participants,2021-12-12,2022-03-04
Austria,PlaceOfWorship,Closure of places of worship,2020-03-16,2020-05-14
Austria,PlaceOfWorship,Closure of places of worship,2020-11-16,2020-12-06
Austria,PlaceOfWorship,Closure of places of worship,2020-12-28,2021-02-06
Austria,PlaceOfWorshipPartial,Closure of places of worship - partially relaxed measure,2020-05-15,2020-11-15
Austria,PlaceOfWorshipPartial,Closure of places of worship - partially relaxed measure,2020-12-07,2020-12-27
Austria,PlaceOfWorshipPartial,Closure of places of worship - partially relaxed measure,2021-02-07,2022-03-05
Austria,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-03-16,2020-04-30
Austria,PrivateGatheringRestrictions,Restrictions on private gatherings,2020-10-23,2020-11-16
Austria,PrivateGatheringRestrictionsPartial,Restrictions on private gatherings - partially relaxed measure,2021-05-19,2022-03-05
Austria,QuarantineForInternationalTravellers,,2020-03-10,2022-05-15
Austria,RegionalStayHomeOrder,Regional stay-at-home orders for the general population at least in one region (these are enforced and also referred to as 'lockdown'),2021-04-01,2021-05-02
Austria,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-03-16,2020-05-14
Austria,RestaurantsCafes,Closure of restaurants and cafes/bars,2020-11-03,2021-05-14
Austria,RestaurantsCafes,Closure of restaurants and cafes/bars,2021-11-22,2022-03-04
Austria,RestaurantsCafesPartial,Closure of restaurants and cafes/bars - partially relaxed measure,2021-05-15,2021-11-21
Austria,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2020-11-17,2021-05-18
Austria,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-10,2020-03-15
Austria,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-16,2020-04-30
Austria,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-11-17,2020-12-06
