ISO2,ISO3,country,measure,description,date_start,date_end
FR,FRA,France,Teleworking,Teleworking recommendation,2020-10-29,2021-06-08
FR,FRA,France,WorkplaceClosures,Closures of workplaces,2020-03-17,2020-05-11
DE,DEU,Germany,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-13,2020-05-14
DE,DEU,Germany,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-03-22
DE,DEU,Germany,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-10,2020-05-10
DE,DEU,Germany,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-06-08,2020-06-28
DE,DEU,Germany,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-02,2021-03-28
DE,DEU,Germany,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-02-14,2020-06-15
DE,DEU,Germany,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-11-08,2021-05-11
DE,DEU,Germany,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-09,2020-05-05
DE,DEU,Germany,Teleworking,Teleworking recommendation,2021-01-19,2021-06-30
GR,GRC,Greece,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-11,2020-06-01
GR,GRC,Greece,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-11-16,2021-01-10
GR,GRC,Greece,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-03-20,2021-05-09
GR,GRC,Greece,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-05-24
GR,GRC,Greece,ClosPrim,Closure of educational institutions: primary schools.,2020-03-11,2020-06-01
GR,GRC,Greece,ClosPrim,Closure of educational institutions: primary schools.,2020-11-16,2021-01-10
GR,GRC,Greece,ClosPrim,Closure of educational institutions: primary schools.,2021-03-20,2021-05-09
GR,GRC,Greece,ClosSec,Closure of educational institutions: secondary schools.,2020-03-11,2020-05-18
GR,GRC,Greece,ClosSec,Closure of educational institutions: secondary schools.,2020-11-07,2021-02-05
GR,GRC,Greece,ClosSec,Closure of educational institutions: secondary schools.,2021-03-20,2021-04-11
GR,GRC,Greece,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-07-17,2021-06-27
GR,GRC,Greece,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2021-12-24,2022-03-04
GR,GRC,Greece,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-07,2021-05-20
GR,GRC,Greece,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-19,2020-06-30
GR,GRC,Greece,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-12-18,2021-04-18
GR,GRC,Greece,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2021-01-01,2021-01-02
GR,GRC,Greece,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-02-27,2020-03-22
GR,GRC,Greece,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-23,2020-05-04
GR,GRC,Greece,Teleworking,Teleworking recommendation,2020-03-19,2020-11-02
HU,HUN,Hungary,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-25,2020-06-02
HU,HUN,Hungary,ClosDaycare,Closure of educational institutions: daycare or nursery.,2021-03-09,2021-04-18
HU,HUN,Hungary,ClosHigh,Closure of educational institutions: higher education.,2020-03-25,2020-05-18
HU,HUN,Hungary,ClosHigh,Closure of educational institutions: higher education.,2020-11-11,2021-07-07
HU,HUN,Hungary,ClosPrim,Closure of educational institutions: primary schools.,2020-03-16,2020-06-01
HU,HUN,Hungary,ClosPrim,Closure of educational institutions: primary schools.,2021-03-08,2021-04-18
HU,HUN,Hungary,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-03-27
HU,HUN,Hungary,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2021-03-08,2021-04-06
HU,HUN,Hungary,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-06-01
HU,HUN,Hungary,ClosSec,Closure of educational institutions: secondary schools.,2020-11-11,2021-05-09
HU,HUN,Hungary,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-11-11,2021-05-21
HU,HUN,Hungary,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-11,2020-03-15
HU,HUN,Hungary,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-09-01,2022-03-07
HU,HUN,Hungary,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-16,2020-03-26
HU,HUN,Hungary,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-06-16,2020-11-03
HU,HUN,Hungary,StayHomeOrder,Stay-at-home orders for the general population (these are enforced and also referred to as 'lockdown'),2020-03-27,2020-05-18
IS,ISL,Iceland,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-05-04
IS,ISL,Iceland,ClosHigh,Closure of educational institutions: higher education.,2021-03-25,2021-04-01
IS,ISL,Iceland,ClosPrim,Closure of educational institutions: primary schools.,2021-03-25,2021-04-01
IS,ISL,Iceland,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-05-03
IS,ISL,Iceland,ClosSec,Closure of educational institutions: secondary schools.,2020-03-16,2020-05-04
IS,ISL,Iceland,ClosSec,Closure of educational institutions: secondary schools.,2021-03-25,2021-04-01
IS,ISL,Iceland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-16,2020-05-24
IS,ISL,Iceland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-10-04,2021-03-23
IS,ISL,Iceland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-05-10,2021-06-25
IS,ISL,Iceland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-07-25,2022-02-25
IS,ISL,Iceland,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-01-28,2021-01-24
IE,IRL,Ireland,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-12,2020-06-29
IE,IRL,Ireland,ClosHigh,Closure of educational institutions: higher education.,2020-03-12,2020-09-20
IE,IRL,Ireland,ClosPrim,Closure of educational institutions: primary schools.,2020-03-12,2020-08-09
IE,IRL,Ireland,ClosPrim,Closure of educational institutions: primary schools.,2021-01-11,2021-03-14
IE,IRL,Ireland,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-12,2020-03-26
IE,IRL,Ireland,ClosSec,Closure of educational institutions: secondary schools.,2020-03-12,2020-08-09
IE,IRL,Ireland,ClosSec,Closure of educational institutions: secondary schools.,2021-01-11,2021-02-28
IE,IRL,Ireland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-12,2020-03-23
IE,IRL,Ireland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-06-29,2020-11-30
IE,IRL,Ireland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-01-11,2021-05-09
IE,IRL,Ireland,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-06-07,2021-10-28
IE,IRL,Ireland,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-01-27,2020-03-13
IE,IRL,Ireland,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2020-10-21,2021-07-18
IE,IRL,Ireland,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-12,2020-03-26
IE,IRL,Ireland,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-05-18,2020-06-26
