ISO2,ISO3,country,measure,description,date_start,date_end
NL,NLD,Netherlands,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-12,2020-06-30
NL,NLD,Netherlands,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-09-29,2020-10-13
NL,NLD,Netherlands,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-04,2021-06-04
NL,NLD,Netherlands,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2021-12-19,2022-03-15
NL,NLD,Netherlands,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-14,2021-09-21
NL,NLD,Netherlands,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2022-02-25,2022-03-22
NL,NLD,Netherlands,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-18,2020-05-10
NL,NLD,Netherlands,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-12-15,2021-01-22
NL,NLD,Netherlands,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2021-04-29,2021-06-04
NL,NLD,Netherlands,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2021-11-28,2022-01-25
NL,NLD,Netherlands,Teleworking,Teleworking recommendation,2020-03-12,2020-05-31
NL,NLD,Netherlands,Teleworking,Teleworking recommendation,2020-08-18,2021-06-25
NL,NLD,Netherlands,Teleworking,Teleworking recommendation,2021-07-19,
NL,NLD,Netherlands,WorkplaceClosures,Closures of workplaces,2020-03-23,2020-05-10
NL,NLD,Netherlands,WorkplaceClosures,Closures of workplaces,2020-12-15,2021-03-02
NO,NOR,Norway,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-12,2020-04-20
NO,NOR,Norway,ClosHigh,Closure of educational institutions: higher education.,2020-03-12,2020-06-14
NO,NOR,Norway,ClosHigh,Closure of educational institutions: higher education.,2021-01-04,2021-02-18
NO,NOR,Norway,ClosPrim,Closure of educational institutions: primary schools.,2020-03-12,2020-04-26
NO,NOR,Norway,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-12,2020-05-31
NO,NOR,Norway,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2022-01-15,2022-02-01
