freq,unit,age,sex,isced11,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
A,NR,TOTAL,F,ED5-8,IS,11850 ,11447 ,11339 ,11849 ,12523 ,14505 ,14436 
A,NR,TOTAL,F,ED5-8,IT,1016442 ,1021977 ,1051656 ,1074851 ,1132957 ,1171941 ,1205249 
A,NR,TOTAL,F,ED5-8,LI,274 ,302 ,304 ,335 ,346 ,384 ,388 
A,NR,TOTAL,F,ED5-8,LT,76071 ,71164 ,66746 ,63442 ,60965 ,60867 ,60798 
A,NR,TOTAL,F,ED5-8,LU,3545 ,3590 ,3658 ,3702 ,3933 ,4072 ,4138 
A,NR,TOTAL,F,ED5-8,LV,49812 ,48013 ,47400 ,45194 ,44275 ,44263 ,44695 
A,NR,TOTAL,F,ED5-8,ME,13257 ,13609 ,13219 ,12549 ,12769 ,12689 ,: 
A,NR,TOTAL,F,ED5-8,MK,34730 ,34191 ,33358 ,32023 ,32025 ,32009 ,32559 
A,NR,TOTAL,F,ED5-8,MT,7505 ,8112 ,8702 ,9345 ,9933 ,10839 ,11054 
A,NR,TOTAL,F,ED5-8,NL,434637 ,457757 ,463184 ,476034 e,493008 e,523188 e,: 
A,NR,TOTAL,F,ED5-8,NO,161378 ,165495 ,167640 ,168431 ,171455 ,182085 ,187738 
A,NR,TOTAL,F,ED5-8,PL,944675 d,915380 d,884759 e,851706 e,819825 e,795826 ,815096 
A,NR,TOTAL,F,ED5-8,PT,182061 ,184701 ,190586 ,198031 ,204522 ,216232 ,223626 
A,NR,TOTAL,F,ED5-8,RO,288432 ,286636 ,291843 ,290865 ,296622 ,308222 ,307677 
A,NR,TOTAL,F,ED5-8,RS,138971 ,146902 ,144871 ,141679 ,137910 ,139427 ,141371 
A,NR,TOTAL,F,ED5-8,SE,253070 ,253884 ,259086 ,259820 ,272885 ,296817 ,293253 
A,NR,TOTAL,F,ED5-8,SI,46562 d,45749 d,44044 ,43803 ,43976 ,47702 ,47134 
A,NR,TOTAL,F,ED5-8,SK,99048 ,92454 ,85206 ,82956 ,81031 ,82300 ,82474 
A,NR,TOTAL,F,ED5-8,TR,3067668 ,3312880 ,3513069 ,3694418 ,3850696 ,4070584 ,4124812 
A,NR,TOTAL,F,ED5-8,UK,1342242 d,1378588 d,1402359 d,1490076 d,: ,: ,: 
A,NR,TOTAL,F,ED54,AL,: ,: ,: ,: ,: ,: z,: z
A,NR,TOTAL,F,ED54,AT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,BA,: ,: ,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,BE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,BG,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,CH,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,CY,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,CZ,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,DE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,DK,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,EE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,EL,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,ES,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,EU27_2020,2418 d,1993 d,1719 d,2260 d,2462 d,2433 d,2333 d
A,NR,TOTAL,F,ED54,EU28,109435 d,100031 d,91362 d,97692 d,: ,: ,: 
A,NR,TOTAL,F,ED54,FI,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,FR,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,HR,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,HU,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,IE,: d,: d,: d,: d,: d,: d,: d
A,NR,TOTAL,F,ED54,IS,136 ,141 ,127 ,192 ,286 ,332 ,243 
A,NR,TOTAL,F,ED54,IT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,LI,: z,: z,: z,0 ,0 ,0 ,0 
A,NR,TOTAL,F,ED54,LT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,LU,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,LV,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,ME,: z,: z,: z,: z,: z,: z,: 
A,NR,TOTAL,F,ED54,MK,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,MT,574 ,535 ,623 ,605 ,735 ,731 ,688 
A,NR,TOTAL,F,ED54,NL,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,NO,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,PL,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,PT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,RO,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,RS,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,SE,1844 ,1458 ,1096 ,1655 ,1727 ,1702 ,1646 
A,NR,TOTAL,F,ED54,SI,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,SK,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,TR,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED54,UK,107017 ,98038 ,89643 ,95432 ,: ,: ,: 
A,NR,TOTAL,F,ED55,AL,: ,: ,: ,: ,: ,2185 ,2561 d
A,NR,TOTAL,F,ED55,AT,41271 ,40562 ,40188 ,39272 ,38738 ,39989 ,40489 
A,NR,TOTAL,F,ED55,BA,: ,: ,: z,: z,: z,: z,28 
A,NR,TOTAL,F,ED55,BE,15351 ,14696 d,13850 ,13390 ,12400 bd,14159 ,14283 d
A,NR,TOTAL,F,ED55,BG,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,CH,2755 ,2639 ,2603 ,2528 ,2399 ,2036 ,2105 
A,NR,TOTAL,F,ED55,CY,1454 ,1462 ,1536 ,1583 ,1661 ,1280 ,1203 
A,NR,TOTAL,F,ED55,CZ,597 ,634 ,628 ,632 ,628 ,654 ,679 
A,NR,TOTAL,F,ED55,DE,215 ,218 ,226 ,4650 bd,4572 ,5115 ,5235 
A,NR,TOTAL,F,ED55,DK,16316 ,16695 ,16458 ,16221 ,16178 ,16363 ,17286 
A,NR,TOTAL,F,ED55,EE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,EL,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,ES,177052 ,187230 ,197924 ,206726 ,224438 ,254697 ,270288 
A,NR,TOTAL,F,ED55,EU27_2020,545678 d,561128 d,569711 d,600389 d,627087 d,674713 d,690861 d
A,NR,TOTAL,F,ED55,EU28,611516 d,636867 d,648881 d,698327 d,: ,: ,: 
A,NR,TOTAL,F,ED55,FI,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED55,FR,243182 ,244610 ,241586 ,257740 ,261852 ,269524 ,260858 
A,NR,TOTAL,F,ED55,HR,49 ,38 ,11 ,5 ,3 ,1 ,1 
A,NR,TOTAL,F,ED55,HU,7492 ,8426 ,7540 ,6556 ,6540 ,6694 ,6750 
