freq,unit,icha11_hc,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,EUR_HAB,TOT_HC,RO,313.18 ,373.66 ,380.14 ,399.83 ,431.88 ,493.75 ,583.91 ,661.28 ,712.57 ,817.47 ,857.66 ,: 
A,EUR_HAB,TOT_HC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,781.29 p,868.51 p,: 
A,EUR_HAB,TOT_HC,SE,4849.60 ,5018.91 ,4954.90 ,5022.10 ,5099.33 ,5147.42 ,5060.99 ,5025.41 ,5260.21 ,5763.47 ,5636.55 ,: 
A,EUR_HAB,TOT_HC,SI,: ,: ,1551.74 ,1603.66 ,1660.39 ,1703.65 ,1830.93 ,1975.17 ,2109.68 ,2351.11 ,2593.90 ,: 
A,EUR_HAB,TOT_HC,SK,1026.35 ,1031.40 ,970.05 ,998.98 ,1043.40 ,1051.83 ,1099.99 ,1198.03 ,1219.91 ,1427.52 ,1560.50 ,: 
A,EUR_HAB,TOT_HC,UK,: ,3261.02 ,3559.66 ,4021.21 ,3662.83 ,3503.62 ,3607.59 ,3838.53 ,: ,: ,: ,: 
A,MIO_EUR,TOT_HC,AT,32499.92 ,33316.59 ,34540.89 ,35692.35 ,37020.51 ,38354.63 ,39871.46 ,41650.95 ,43102.90 ,49246.10 ,49897.38 ,52279.63 p
A,MIO_EUR,TOT_HC,BA,: ,1291.99 ,1324.85 ,1366.83 ,1414.26 ,1433.85 ,1520.41 ,1633.05 ,1722.85 ,1912.42 ,2033.03 ,: 
A,MIO_EUR,TOT_HC,BE,40558.00 ,41545.49 ,42752.47 ,44990.38 ,46420.10 ,48070.64 ,49967.10 ,51504.09 ,51902.39 ,56112.23 ,59625.83 ,: 
A,MIO_EUR,TOT_HC,BG,3185.79 ,3003.51 ,3305.61 ,3386.12 ,3636.79 ,3935.66 ,4120.53 ,4364.00 ,5225.79 ,6124.62 ,6575.40 ,: 
A,MIO_EUR,TOT_HC,CH,55258.84 ,56440.94 ,58635.76 ,68836.41 ,69820.53 ,70278.23 ,68795.40 ,73633.37 ,78115.41 ,82540.23 ,91053.95 ,: 
A,MIO_EUR,TOT_HC,CY,1274.30 ,1249.79 ,1211.80 ,1219.10 ,1264.90 ,1345.07 ,1479.54 ,1637.70 ,1934.86 ,2362.02 ,2463.99 ,: 
A,MIO_EUR,TOT_HC,CZ,12347.05 ,11952.31 ,11986.68 ,12437.35 ,13118.11 ,14247.64 ,15739.05 ,17176.92 ,19761.77 ,22520.47 ,24308.74 ,26128.41 p
