freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S13,TOTAL,TE,FI	121044.0 	121375.0 	124626.0 	127945.0 	136128.0 	139882.0 	143133.0 
A,MIO_EUR,S13,TOTAL,TE,FR	1266434.0 	1298023.0 	1315050.0 	1349281.0 	1421922.0 	1477681.0 p	1538919.0 p
A,MIO_EUR,S13,TOTAL,TE,HR	21818.0 	22201.5 	23956.9 	25748.6 	27298.8 	28382.8 	30535.2 
A,MIO_EUR,S13,TOTAL,TE,HU	54404.9 	59343.1 	62715.7 	67539.0 	70891.9 	74508.8 	82472.8 
A,MIO_EUR,S13,TOTAL,TE,IE	75894.1 	77895.8 	82801.5 	86580.6 	101970.2 	105888.6 	107576.1 
A,MIO_EUR,S13,TOTAL,TE,IS	8732.2 	9733.5 	9751.1 	9605.9 	9682.5 	10807.0 	12689.3 
A,MIO_EUR,S13,TOTAL,TE,IT	832265.0 	846821.0 	857245.0 	870864.0 	946814.0 	1026036.0 	1091530.0 
A,MIO_EUR,S13,TOTAL,TE,LT	13315.4 	14047.5 	15478.0 	17057.5 	21309.5 	21150.9 	24510.3 
A,MIO_EUR,S13,TOTAL,TE,LU	22509.6 	24010.6 	25431.0 	26911.3 	30301.2 	31014.2 	34024.3 
A,MIO_EUR,S13,TOTAL,TE,LV	9523.9 	10307.0 	11453.9 	11733.2 	12799.0 	14891.2 	15713.4 
A,MIO_EUR,S13,TOTAL,TE,MT	3834.1 	4112.5 	4692.5 	5099.9 	6047.8 	6578.6 	6866.2 
A,MIO_EUR,S13,TOTAL,TE,NL	309167.0 	313410.0 	327239.0 	342493.0 	380991.0 	400161.0 	416921.0 
A,MIO_EUR,S13,TOTAL,TE,NO	171850.5 	178344.8 	180787.3 	186483.0 	185998.9 	200314.9 	216572.0 
A,MIO_EUR,S13,TOTAL,TE,PL	175560.8 	192918.7 	206822.2 	222991.0 	253852.3 	254137.4 	287351.9 
A,MIO_EUR,S13,TOTAL,TE,PT	83615.9 	88897.4 	88722.5 	91004.2 	98743.3 	102533.9 	106873.6 p
A,MIO_EUR,S13,TOTAL,TE,RO	58618.8 	62634.4 	71058.2 	81393.1 	92135.1 	96678.6 	113671.4 
A,MIO_EUR,S13,TOTAL,TE,SE	234217.6 	238551.7 	236736.4 	236113.0 	253531.6 	268507.0 	269868.3 
A,MIO_EUR,S13,TOTAL,TE,SI	18669.7 	18955.1 	19942.1 	21072.7 	24161.5 	25861.2 	26898.8 
A,MIO_EUR,S13,TOTAL,TE,SK	34574.9 	33440.3 	35652.9 	38263.8 	41804.1 	45460.0 	46334.7 
A,PC_TOT,S13,GF07,TE,AT	16.3 	16.6 	16.9 	17.1 	16.2 	17.9 	17.6 
A,PC_TOT,S13,GF07,TE,BE	14.4 	14.6 	14.6 	14.6 	14.8 	15.6 	15.3 p
A,PC_TOT,S13,GF07,TE,BG	14.2 	13.9 	13.4 	12.7 	14.1 	14.0 	13.4 
A,PC_TOT,S13,GF07,TE,CH	6.4 	6.3 	6.4 	6.6 	6.7 	7.7 	7.0 
A,PC_TOT,S13,GF07,TE,CY	6.7 	6.8 	6.2 	9.1 	13.4 	15.7 	16.0 
A,PC_TOT,S13,GF07,TE,CZ	18.7 	18.9 	18.4 	18.4 	19.8 	21.1 	20.4 
A,PC_TOT,S13,GF07,TE,DE	16.2 	16.1 	16.2 	16.2 	16.8 p	17.1 p	17.2 p
