unit,s_adj,country,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
"Current prices, million euro",Seasonally and calendar adjusted data,Switzerland,153549.2,154602.7,156381.8,157154.6,158613.9,156626.7,151898.1,149406.0,150321.9,151800.5,155469.6,157074.7,157555.9,159010.9,163721.1,164515.9,165938.3,155212.3,164248.7,164803.9,164046.5,168533.1,175071.1,181136.7,187061.0,192909.0,204643.1,203317.5,202389.1,204763.1,209037.4,211437.0,215594.6,211498.0,217694.7
"Current prices, million euro",Seasonally and calendar adjusted data,Cyprus,4632.3,4673.2,4781.8,4926.4,5001.9,5005.2,5106.0,5199.2,5355.8,5469.0,5414.3,5568.7,5715.7,5854.4,5885.5,5945.4,5932.4,5109.9,5538.6,5793.0,6136.2,6261.6,6461.4,6820.8,7120.3,7221.1,7501.0,7573.6,7677.7,7724.4,7912.6,8025.2,8166.5,8317.1,8362.9
"Current prices, million euro",Seasonally and calendar adjusted data,Czechia,44298.6,44441.2,44950.2,45382.3,46360.5,48686.9,50285.3,51813.8,52938.3,53076.4,53597.6,54106.9,56163.6,56913.2,57688.3,58745.9,57529.5,50425.9,55826.7,56728.4,57977.7,60857.3,63002.6,64150.5,68942.1,70534.2,72921.6,74552.2,78987.4,80902.6,79286.2,78593.7,78355.8,80020.6,80011.4
"Current prices, million euro",Seasonally and calendar adjusted data,Germany,790245.0,795551.0,799546.0,805544.0,817727.0,828769.0,839104.0,849672.0,848873.0,858518.0,857751.0,870762.0,876831.0,880886.0,888719.0,894560.0,881485.0 p,809073.0 p,867876.0 p,884210.0 p,886534.0 p,907732.0 p,928453.0 p,944587.0 p,962521.0 p,979029.0 p,993638.0 p,1012073.0 p,1029719.0 p,1041192.0 p,1052400.0 p,1063813.0 p,1068064.0 p,1073823.0 p,1078075.0 p
"Current prices, million euro",Seasonally and calendar adjusted data,Denmark,69248.4,70328.8,70699.5,71987.4,72790.2,73908.9,73511.8,74141.4,74232.8,74897.6,75778.1,76109.5,76001.7,76854.7,77634.9,78055.2,78535.7,73968.9,79319.0,80295.1,81966.5,84747.3,87180.1,91340.5,91795.7,95367.6,98427.5,96721.9,95848.1,93809.6,92792.7,93978.1,95247.7,96794.1,99618.5
"Current prices, million euro",Seasonally and calendar adjusted data,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2701973.7,2711455.4,2732086.1,2754967.9,2784997.9,2817937.7,2844421.2,2879569.0,2892068.6,2912830.1,2929853.2,2963055.0,2993882.8,3013430.3,3033635.1,3049657.5,2965645.7,2665211.9,2946885.7,2977300.5,3013668.8,3090924.3,3185641.5,3247790.3,3311255.9,3382776.1,3445588.6,3507428.4,3594580.3,3637236.6,3663745.7,3706584.6,3738648.7,3764019.0,3799641.5
"Current prices, million euro",Seasonally and calendar adjusted data,Euro area - 12 countries (2001-2006),2643613.0,2652624.0,2672707.0,2694518.4,2723207.8,2755245.1,2780837.4,2814593.7,2826058.7,2845375.1,2861310.3,2893298.8,2923167.9,2941856.4,2961275.2,2976329.0,2893165.9,2598549.7,2874486.6,2903690.5,2938094.5,3013050.4,3105305.8,3164819.9,3225975.6,3295144.0,3355367.3,3415880.9,3480741.5,3521074.5,3546072.3,3586404.8,3617354.5,3640884.7,3675575.1
"Current prices, million euro",Seasonally and calendar adjusted data,Euro area - 19 countries  (2015-2022),2701973.7,2711455.4,2732086.1,2754967.9,2784997.9,2817937.7,2844421.2,2879569.0,2892068.6,2912830.1,2929853.2,2963055.0,2993882.8,3013430.3,3033635.1,3049657.5,2965645.7,2665211.9,2946885.7,2977300.5,3013668.8,3090924.3,3185641.5,3247790.3,3311255.9,3382776.1,3445588.6,3507428.4,3575888.9,3617885.8,3643961.5,3686362.5,3717881.7,3742843.4,3778105.6
"Current prices, million euro",Seasonally and calendar adjusted data,Euro area - 20 countries (from 2023),2713682.9,2723285.8,2744058.0,2767033.8,2797245.4,2830501.1,2857172.8,2892213.9,2904955.6,2926149.0,2943256.6,2976481.2,3007603.3,3027312.8,3047709.1,3063749.2,2979469.4,2676860.5,2958928.9,2990505.8,3027763.2,3105023.7,3200452.4,3263179.7,3327258.2,3399381.5,3462778.5,3525242.3,3594580.3,3637236.6,3663745.7,3706584.6,3738648.7,3764019.0,3799641.5
"Current prices, million euro",Seasonally and calendar adjusted data,Estonia,5496.3,5467.5,5540.6,5677.8,5885.3,6074.8,6067.4,6259.0,6396.2,6544.2,6623.5,6834.0,7000.7,7103.3,7118.6,7213.8,7068.6,6580.1,7019.5,7175.4,7444.8,7681.1,7958.3,8314.0,8727.7,8960.3,9307.9,9389.6,9480.2,9503.7,9522.7,9656.7,9582.8,9775.9,9899.4
"Current prices, million euro",Seasonally and calendar adjusted data,Greece,43452.1,43679.0,43611.0,43866.3,44025.6,44156.9,44657.5,44396.8,44916.4,44997.1,45135.1,45466.6,45995.6,46579.1,46057.1,45930.6,45415.8,38977.5,41228.4,42315.7,43812.9,45016.4,46413.4,48593.0,50508.4 p,51509.7 p,51904.3 p,53146.5 p,54765.7 p,56106.8 p,56133.9 p,57400.5 p,57906.2 p,59079.2 p,59311.3 p
"Current prices, million euro",Seasonally and calendar adjusted data,Spain,277417.0,279123.0,282308.0,284119.0,287756.0,291535.0,293175.0,297558.0,298352.0,301749.0,304323.0,307852.0,311179.0,311955.0,312955.0,317621.0,301564.0,247347.0,287632.0,292671.0,298714.0,301107.0,310566.0,325087.0,331851.0 p,338571.0 p,344745.0 p,358462.0 p,369227.0 p,370217.0 p,374050.0 p,384830.0 p,390921.0 p,394345.0 p,399399.0 p
"Current prices, million euro",Seasonally and calendar adjusted data,European Union - 27 countries (from 2020),3128856.4,3144450.2,3167472.5,3193369.5,3237226.0,3278182.6,3312391.3,3351535.6,3371436.8,3392896.9,3415011.5,3456529.8,3495241.4,3522212.1,3544796.1,3569814.5,3484821.6,3132394.6,3454545.3,3498833.9,3548794.5,3641758.7,3751715.5,3834331.4,3910795.0,4001032.5,4076546.8,4145207.4,4231850.2,4284645.0,4313341.9,4371811.4,4418144.8,4453479.1,4498992.9
"Current prices, million euro",Seasonally and calendar adjusted data,Finland,53514.0,53546.0,54257.0,54400.0,55287.0,55947.0,56343.0,57129.0,57554.0,57690.0,58083.0,58578.0,59045.0,59588.0,59819.0,60066.0,60619.0,56799.0,59215.0,59754.0,59928.0,61564.0,62899.0,64373.0,65103.0,66117.0,67159.0,67756.0,68361.0,68833.0,68175.0,67949.0,68988.0,69132.0,69523.0
"Current prices, million euro",Seasonally and calendar adjusted data,France,557640.4,555250.2,557144.4,560267.2,565437.9,571922.2,576349.2,580878.8,583317.2,584819.0,591461.1,597361.7,604051.4,609241.4,611638.2,610063.6,586753.9,532138.8,596945.0,601280.1,606935.3,617559.0,637169.9,643931.8,649890.9,656131.3,669454.2,678530.3,691445.6,704915.1,710461.6,719557.1,723630.1,725768.6,735305.2
"Current prices, million euro",Seasonally and calendar adjusted data,Croatia,11706.6,11828.4,11968.6,12059.3,12235.8,12548.6,12735.6,12629.7,12874.8,13307.4,13390.6,13409.5,13697.1,13863.4,14070.4,14115.0,13886.2,11731.3,12126.6,13271.1,14123.0,14102.2,14798.2,15371.2,15988.7,16594.1,17179.1,17802.2,18677.5 p,19335.4 p,19768.2 p,20206.1 p,20752.0 p,21161.5 p,21522.4 p
"Current prices, million euro",Seasonally and calendar adjusted data,Hungary,28423.8,28984.9,29359.1,29833.9,30849.8,31382.4,32320.7,32656.7,33772.5,33833.1,34031.9,34946.7,36869.3,36750.0,36790.2,36993.8,37383.7,31470.9,34640.4,35553.8,35997.8,38472.6,39335.8,40977.1,42893.2,42188.8,41821.7,42298.1,46100.7 p,49694.3 p,50043.0 p,50917.8 p,51042.3 p,51775.0 p,51807.9 p
"Current prices, million euro",Seasonally and calendar adjusted data,Ireland,66935.2,66096.3,68948.3,73792.9,73181.4,74629.2,78167.7,82612.2,82724.8,82618.1,84319.5,85233.0,88583.8,89516.8,91526.9,93242.4,97570.1,89396.6,99797.0,96160.2,106722.7,110339.5,115453.1,115640.7,123070.5,129434.6,134781.3,133206.5,128281.1,129216.4,125810.3,127285.8,128001.7,128610.7,133431.8
"Current prices, million euro",Seasonally and calendar adjusted data,Italy,423584.2,424648.7,428270.5,430063.4,432680.3,435937.8,437076.8,441976.4,443310.7,444157.5,444543.5,446383.6,448943.9,450974.0,451992.8,452594.1,425463.2,378510.4,431480.9,433400.7,439142.0,452966.8,470192.0,476638.7,484478.2,497747.1,502763.9,510947.8,525434.7,531652.0,534923.0,536805.4,541741.9,544147.4,548219.8
"Current prices, million euro",Seasonally and calendar adjusted data,Lithuania,9478.0,9637.6,9726.3,9972.7,10287.5,10463.7,10660.1,10867.5,11123.5,11375.2,11556.7,11898.8,11955.6,12300.8,12340.0,12646.1,12556.3,12042.4,12762.7,12891.1,13232.4,13971.3,14428.0,15036.5,16050.3,16706.9,17261.8,17428.8,18073.0,18436.5,18617.3,18676.7,19032.7,19466.2,19770.4
"Current prices, million euro",Seasonally and calendar adjusted data,Luxembourg,13693.2,13822.8,14231.0,14400.7,14320.6,14576.3,14631.6,14759.1,14896.1,15011.1,15038.5,15128.4,15227.9,15522.6,15695.3,15779.2,15793.7,15665.5,16323.2,16734.8,17281.3,17576.1,18150.6,19215.6,19170.6,19354.9,19648.4,19574.5,19806.5,20021.3,19856.3,19965.9,20289.2 p,20743.9 p,20795.3 p
"Current prices, million euro",Seasonally and calendar adjusted data,Latvia,6029.0,6083.0,6107.8,6253.3,6378.1,6455.1,6527.3,6636.1,6734.6,7030.3,7103.9,7239.9,7291.2,7367.3,7470.8,7422.3,7456.5,6852.9,7399.6,7518.6,7578.0,7885.2,8250.1,8492.4,8984.1,8965.3,9079.2,9066.5,9919.1,9768.4,9378.1,10026.4,9837.8,9973.2,9665.4
"Current prices, million euro",Seasonally and calendar adjusted data,Montenegro,954.7,970.8,992.9,1021.6,1036.0,1058.9,1084.2,1101.5,1131.7,1158.5,1166.4,1181.0,1200.2,1219.9,1250.3,1241.1,1238.1,953.0,934.6,1131.3,1174.7,1197.1,1261.4,1318.3,1386.4,1458.4,1496.0,1580.4,1657.1,1730.5,1765.1,1791.9,1824.3 p,1865.4 p,1888.8
"Current prices, million euro",Seasonally and calendar adjusted data,North Macedonia,2362.4,2376.7,2447.9,2459.4,2521.2,2456.6,2528.8,2522.6,2637.7,2656.0,2681.2,2772.8,2755.2,2826.9,2884.3,2826.7,2838.2,2370.7,2799.5,2883.3,2906.8,2936.0,2972.1,3039.2,3122.3,3299.2,3330.0,3510.5,3562.2 p,3574.1 p,3684.5 p,3730.4 p,3726.7 e,3838.5 e,3955.4 e
"Current prices, million euro",Seasonally and calendar adjusted data,Malta,2646.0,2681.0,2743.9,2798.5,3050.3,3091.5,3166.9,3227.4,3267.6,3379.9,3498.4,3530.5,3537.0,3623.6,3695.6,3741.6,3848.8,3349.5,3516.2,3671.8,3996.4,4021.7,4269.1,4371.3,4275.9,4513.5,4640.6,4826.4,4859.0,5050.7,5258.9,5366.8,5466.4,5630.1,5682.2
"Current prices, million euro",Seasonally and calendar adjusted data,Netherlands,177498.0,179080.1,180866.8,182884.5,184689.1,186822.7,188756.4,190846.1,194513.2,195429.9,197801.4,199715.6,204543.5,206705.6,208404.3,210125.4,208846.1,192409.5,206150.6,209293.3,211124.3,221532.8,227758.5,230906.8,238976.6,245664.0,251763.5,257302.1,261379.6,265279.5,268958.5,272030.5,277043.3,281171.8,285049.5
"Current prices, million euro",Seasonally and calendar adjusted data,Norway,79640.9,82822.9,83583.0,88473.5,91136.5,88142.5,88982.9,88252.6,89878.1,93106.6,95932.3,95243.8,92640.3,92424.3,90711.0,90501.6,85905.3,73737.5,80072.8,82202.6,91943.5,98507.7,106567.7,125219.8,135316.3,140387.0,159059.1,129872.3,120455.4,109682.5,108190.4,110949.3,112376.2,115306.5,
"Current prices, million euro",Seasonally and calendar adjusted data,Poland,104912.5,106208.6,107797.7,108842.6,113028.9,117409.5,118141.3,120524.3,124882.3,124357.8,125718.5,128535.6,130936.2,134690.6,134029.7,138173.6,138477.6,123163.5,133934.7,135998.9,139817.6,144149.9,147624.8,151188.1,158046.7,163510.7,166827.0,172203.2,177353.1,186418.0,189568.4,196226.4,202491.0,207900.9,212202.0
"Current prices, million euro",Seasonally and calendar adjusted data,Portugal,45872.2,46139.4,46831.1,47538.1,47946.5,48587.4,49182.4,49792.8,50342.4,50917.2,51600.7,52137.3,52902.1,53135.1,53898.8,54553.9,52436.1,45407.1,51359.2,51830.4,51293.1,53184.4,55311.9,56704.3,58685.9,60176.9,61605.8,63488.5,65732.5 e,66405.0 e,67211.6 e,68035.2 e,69636.8 e,70396.4 e,71339.9 e
"Current prices, million euro",Seasonally and calendar adjusted data,Romania,40450.3,41726.5,42238.0,43072.6,45234.3,45713.1,47582.1,47828.0,49137.2,51010.7,52559.3,53492.1,53649.6,55744.7,57222.5,58133.0,56736.0,49983.4,55770.4,58584.1,58287.7,59146.5,61599.0,63214.9,66747.1,69906.1,71966.9,73153.9,78751.1 p,79389.3 p,81775.8 p,84410.1 p,85910.2 p,88586.4 p,89690.9 p
"Current prices, million euro",Seasonally and calendar adjusted data,Serbia,9383.5,9554.7,9503.4,9717.2,9854.3,9975.9,10439.5,10520.4,11043.8,11009.4,11317.3,11309.7,11454.3,11803.8,12219.5,12556.9,12593.7,11288.3,12433.6,12732.9,13068.4,13622.2,14301.3,14843.8,15030.6,15737.3,16002.3,16628.6,18164.4,18447.1,18934.6,19623.3,19840.7,20265.4,20715.6
"Current prices, million euro",Seasonally and calendar adjusted data,Sweden,115813.1,117481.5,116101.8,114701.7,119012.1,117632.8,120162.0,118809.3,118094.8,115534.6,115567.2,118448.0,118723.4,118274.6,118501.8,120316.3,121273.8,111794.2,120517.9,125240.1,130097.1,132058.2,134036.4,141189.0,134751.1,138790.2,139438.8,137770.3,136924.8,134269.9,133013.9,136984.6,141645.5,139070.5,140341.5
"Current prices, million euro",Seasonally and calendar adjusted data,Slovenia,9759.7,9889.2,10044.2,10202.2,10376.6,10549.1,10729.2,11095.1,11125.7,11235.0,11539.4,11737.9,11901.3,11831.2,12179.3,12386.3,11802.1,10717.6,11924.4,12008.3,12334.7,12743.0,13149.0,13596.9,13484.0,14019.7,14591.1,14779.9,15583.4,16017.0,16037.6,16517.6,16435.5,16488.7,16671.1
"Current prices, million euro",Seasonally and calendar adjusted data,Slovakia,20274.6,20354.2,20396.7,20596.1,20811.2,21071.6,21354.6,21723.0,22031.3,22443.6,22828.2,22972.8,23345.5,23523.9,23693.9,23984.1,23788.3,21900.1,24166.3,24465.9,24751.9,25211.9,25733.3,26262.9,26579.3,27205.8,27819.6,28484.0,29581.2,30355.1,31220.2,31762.4,32092.4,32406.0,32591.3
"Current prices, million euro",Seasonally and calendar adjusted data,Turkey,193667.5,197899.9,191882.3,201816.5,184438.1,192048.1,193291.8,190388.3,188123.6,175587.4,150242.9,154461.4,167451.8,160442.1,173939.3,177401.6,175452.9,142309.0,158997.6,153567.8,173400.9,162498.0,184342.4,171889.4,178524.9,210759.3,226206.5,240632.1,252549.0,253839.3,253961.9,267134.4,283887.1,295962.0,309322.5
"Current prices, million euro",Seasonally and calendar adjusted data,United Kingdom,635759.4,631911.1,589143.6,583552.7,595385.4,596842.5,576395.4,591943.1,597562.7,608297.6,604331.2,610917.5,628992.2,630981.9,618880.6,649860.6,642870.4,536776.7,596839.9,,,,,,,,,,,,,,,,
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Finland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",France,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Hungary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Italy,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Lithuania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Latvia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Netherlands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Sweden,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),"Calendar adjusted data, not seasonally adjusted data",Turkey,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Albania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bosnia and Herzegovina,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 12 countries (2001-2006),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 19 countries  (2015-2022),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 20 countries (from 2023),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p,100.0 p
