freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,CH02	758.31 	747.96 	723.53 	747.56 	719.25 	706.92 	713.2 	698.06 	732.59 	691.35 
A,RT,F,TOTAL,A-R_V-Y,CH03	734.87 	732.05 	721.46 	746.29 	708 	697.28 	687.58 	683.37 	705.59 	671.17 
A,RT,F,TOTAL,A-R_V-Y,CH04	736.39 	755.75 	709.89 	726.72 	675.75 	684.59 	692.47 	682.71 	712.22 	687.47 
A,RT,F,TOTAL,A-R_V-Y,CH05	783.54 	755.65 	737.68 	739.66 	726.84 	685.69 	699.04 	695.58 	747.02 	711.87 
A,RT,F,TOTAL,A-R_V-Y,CH06	742.78 	732.07 	702.09 	737.43 	688.3 	690.64 	688.49 	652.98 	687.84 	696.22 
A,RT,F,TOTAL,A-R_V-Y,CH07	668.25 	630.21 	581.92 	658.92 	588.95 	603.93 	598.83 	597.67 	711.91 	544.14 
A,RT,F,TOTAL,A-R_V-Y,CY	916.04 	794.57 	845.27 	899.62 	831.92 	904.04 	811.5 	834.87 	841.74 	921.6 
A,RT,F,TOTAL,A-R_V-Y,CY0	916.04 	794.57 	845.27 	899.62 	831.92 	904.04 	824.78 	841.01 	841.74 	921.6 
A,RT,F,TOTAL,A-R_V-Y,CY00	916.04 	794.57 	845.27 	899.62 	831.92 	904.04 	824.78 	841.01 	841.74 	921.6 
A,RT,F,TOTAL,A-R_V-Y,CZ	1088.39 	1072.97 	1007.87 	1051.21 	979.46 	998.57 	990.73 	961.64 	1085.53 	1135.13 
A,RT,F,TOTAL,A-R_V-Y,CZ0	1087.19 	1071.62 	1006.82 	1050.12 	978.59 	997.38 	994.32 	962.45 	1084.63 	1134.2 
A,RT,F,TOTAL,A-R_V-Y,CZ01	994.43 	962.55 	943.07 	949.97 	910.14 	902.49 	902.96 	870.31 	953.44 	972.59 
A,RT,F,TOTAL,A-R_V-Y,CZ02	1154.17 	1111.16 	1033.26 	1083.32 	1011.13 	1025.22 	1032.73 	985.28 	1117.6 	1162.16 
A,RT,F,TOTAL,A-R_V-Y,CZ03	1102.79 	1104.46 	1016.31 	1100.8 	991.75 	1006.36 	1006.55 	974.46 	1074.99 	1120.56 
A,RT,F,TOTAL,A-R_V-Y,CZ04	1237.2 	1245.25 	1179.95 	1203.4 	1128.78 	1151.07 	1156.68 	1099.72 	1287.21 	1343.92 
A,RT,F,TOTAL,A-R_V-Y,CZ05	1087.54 	1071.55 	991.86 	1025.24 	956.61 	979.11 	988.43 	956.57 	1056.96 	1139.79 
