freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,Y_GE65,A-R_V-Y,SE1	3636.06 	3560.31 	3477.36 	3452.68 	3474.79 	3430.32 	3473.02 	3211.14 	3613.02 	3116.65 
A,RT,F,Y_GE65,A-R_V-Y,SE11	3536.18 	3405.16 	3449.09 	3394.75 	3384.3 	3329.14 	3354.29 	3067.33 	3651.29 	2940.64 
A,RT,F,Y_GE65,A-R_V-Y,SE12	3746.69 	3729.27 	3506.18 	3517.07 	3569.6 	3537.42 	3597.83 	3364.05 	3573.64 	3303.8 
A,RT,F,Y_GE65,A-R_V-Y,SE2	3752.55 	3658.68 	3460.61 	3530.19 	3475.48 	3555.29 	3511.96 	3279.66 	3534.39 	3288.97 
A,RT,F,Y_GE65,A-R_V-Y,SE21	3767.37 	3605.11 	3408.09 	3502.28 	3380.61 	3587.65 	3486.86 	3109.55 	3550.41 	3232.19 
A,RT,F,Y_GE65,A-R_V-Y,SE22	3824.47 	3713.83 	3497.31 	3550.58 	3528.06 	3529.71 	3555.83 	3358.28 	3588.59 	3383.71 
A,RT,F,Y_GE65,A-R_V-Y,SE23	3691.43 	3642.71 	3457.71 	3527.41 	3482.48 	3559.15 	3491.73 	3303.44 	3484.21 	3244.11 
A,RT,F,Y_GE65,A-R_V-Y,SE3	4146.63 	3982.48 	3903.19 	3961.18 	3868.07 	3854.49 	3781.99 	3602.59 	3781.56 	3596 
A,RT,F,Y_GE65,A-R_V-Y,SE31	4103.07 	3857.2 	3753.4 	3862.31 	3825.6 	3762.56 	3592.86 	3451.34 	3684.99 	3488.43 
A,RT,F,Y_GE65,A-R_V-Y,SE32	4174.05 	4139.24 	4164.14 	4202.64 	3939.75 	3952.96 	3987.79 	3822.34 	4002.23 	3684.58 
A,RT,F,Y_GE65,A-R_V-Y,SE33	4211.87 	4087.24 	3963.83 	3954.79 	3893.28 	3938.74 	3959.53 	3703.4 	3788.43 	3725.38 
A,RT,F,Y_GE65,A-R_V-Y,SI	3977.46 	3860.33 	3720.66 	3796.07 	3694.8 	3659.64 	3566.57 	3530.96 	4151.35 	3784.57 
A,RT,F,Y_GE65,A-R_V-Y,SI0	3968.08 	3850.77 	3707.85 	3775.75 	3669.43 	3619.11 	3548.12 	3500.01 	4101.48 	3748.4 
A,RT,F,Y_GE65,A-R_V-Y,SI03	: 	4147.19 	3984.55 	4097.68 	4003.02 	3894.22 	3848.66 	3725 	4511.59 	4066.65 
A,RT,F,Y_GE65,A-R_V-Y,SI04	: 	3518.76 	3396.27 	3416.26 	3314.76 	3316.02 	3224.87 	3260.36 	3660.95 	3404.53 
A,RT,F,Y_GE65,A-R_V-Y,SK	5311.71 	5102.13 	4832.54 	5025.4 	4776.86 	4820.89 	4711.78 	4459.27 	4880.12 	6013.19 
A,RT,F,Y_GE65,A-R_V-Y,SK0	5303.59 	5089.3 	4819.85 	5014.75 	4764.79 	4810.74 	4748.18 	4471.02 	4871.73 	5999.49 
A,RT,F,Y_GE65,A-R_V-Y,SK01	4705.15 	4783.56 	4521.32 	4641.31 	4421.53 	4443.44 	4491.41 	4199.32 	4344.83 	5161.83 
A,RT,F,Y_GE65,A-R_V-Y,SK02	5366.22 	5276.59 	4904.83 	5100.86 	4936.28 	5054.92 	4911.51 	4572.71 	4970 	6119.54 
A,RT,F,Y_GE65,A-R_V-Y,SK03	5367.64 	5097.35 	4786.38 	5022.88 	4770.43 	4854.51 	4813.57 	4586.91 	4900.06 	6141.32 
A,RT,F,Y_GE65,A-R_V-Y,SK04	5443.18 	4978.55 	4883.27 	5058.15 	4682.04 	4606.94 	4586.31 	4353.77 	4957.53 	6133.58 
A,RT,F,Y_GE65,A-R_V-Y,TR	3927.8 d	4177.73 d	4351.59 d	4360.93 d	4440.58 d	4429.66 d	4223.73 d	4107.06 d	4687 d	5254.97 d
A,RT,F,Y_GE65,A-R_V-Y,TR1	4588.04 d	4240.29 d	4409.05 d	4374.56 d	4424.14 d	4355.56 d	5043.79 d	3239.76 d	3626.04 d	4629.43 d
A,RT,F,Y_GE65,A-R_V-Y,TR10	4588.04 d	4240.29 d	4409.05 d	4374.56 d	4424.14 d	4355.56 d	5043.79 d	3239.76 d	3626.04 d	4629.43 d
A,RT,F,Y_GE65,A-R_V-Y,TR2	4118.97 d	4555.36 d	4790.64 d	4878.76 d	4799.65 d	4793.88 d	5369.56 d	3474.66 d	3524.79 d	5089.79 d
A,RT,F,Y_GE65,A-R_V-Y,TR21	4213.53 d	4616.59 d	4948.87 d	4906.94 d	4719.28 d	4789.14 d	5387.13 d	3485.05 d	3631.84 d	5104.11 d
A,RT,F,Y_GE65,A-R_V-Y,TR22	4050.99 d	4511.15 d	4673.68 d	4859.26 d	4861.59 d	4798.39 d	5358.19 d	3465.2 d	3445.53 d	5076.63 d
A,RT,F,Y_GE65,A-R_V-Y,TR3	4145.19 d	4290.05 d	4387.39 d	4559.42 d	4594.01 d	4520.4 d	5092.2 d	3396.88 d	3608.43 d	4763.07 d
A,RT,F,Y_GE65,A-R_V-Y,TR31	4208.78 d	4140.69 d	4233.06 d	4301.12 d	4456.62 d	4342.43 d	4981.62 d	3255.75 d	3321.51 d	4512.41 d
A,RT,F,Y_GE65,A-R_V-Y,TR32	3625.36 d	4022 d	3956.59 d	4213.33 d	4205.29 d	4193.53 d	4654.14 d	3164.6 d	3309.75 d	4479.58 d
A,RT,F,Y_GE65,A-R_V-Y,TR33	4578.14 d	4735.6 d	5035.31 d	5267.38 d	5175.28 d	5096.14 d	5698.46 d	3819.27 d	4309.48 d	5418.03 d
A,RT,F,Y_GE65,A-R_V-Y,TR4	4449.96 d	4699.69 d	4888.21 d	4845.75 d	4905.46 d	4833.5 d	5444.3 d	3600.44 d	3787.61 d	5279.94 d
A,RT,F,Y_GE65,A-R_V-Y,TR41	4732.02 d	4924.18 d	5109.8 d	5032.82 d	5019.3 d	4938.44 d	5487.8 d	3630.52 d	3865.47 d	5249.58 d
A,RT,F,Y_GE65,A-R_V-Y,TR42	4122.23 d	4438.62 d	4633.23 d	4633.08 d	4774.46 d	4712.84 d	5389.35 d	3567.47 d	3694.28 d	5317.57 d
A,RT,F,Y_GE65,A-R_V-Y,TR5	4181.04 d	4224.04 d	4324.98 d	4291.57 d	4387.37 d	4350.19 d	5041.66 d	3196.61 d	3898.57 d	4708.01 d
A,RT,F,Y_GE65,A-R_V-Y,TR51	4217.95 d	4151 d	4194.17 d	4194.47 d	4273.81 d	4262.24 d	4969.85 d	3131.5 d	3751.34 d	4411.48 d
A,RT,F,Y_GE65,A-R_V-Y,TR52	4088.45 d	4366.24 d	4588.24 d	4491.85 d	4625.55 d	4531.61 d	5186.71 d	3325.91 d	4197.96 d	5337.56 d
A,RT,F,Y_GE65,A-R_V-Y,TR6	3811.11 d	4229.36 d	4265.65 d	4314.15 d	4401.82 d	4260.98 d	5001.66 d	3359.68 d	3589.28 d	4792.8 d
A,RT,F,Y_GE65,A-R_V-Y,TR61	3966.88 d	4294.96 d	4218.46 d	4174.96 d	4273.46 d	4152.31 d	4795.67 d	3165.32 d	3222.85 d	4529.42 d
A,RT,F,Y_GE65,A-R_V-Y,TR62	3812.05 d	4292.37 d	4291.87 d	4470.44 d	4565.16 d	4239 d	5172.15 d	3460.12 d	3724.15 d	4969.73 d
A,RT,F,Y_GE65,A-R_V-Y,TR63	3657.5 d	4086.98 d	4291.15 d	4272.6 d	4348.63 d	4417.36 d	5026.23 d	3451.02 d	3849.23 d	4880.09 d
A,RT,F,Y_GE65,A-R_V-Y,TR7	3934.73 d	4297.13 d	4639.75 d	4604.21 d	4645.03 d	4508.33 d	5039.89 d	3325.36 d	3737.19 d	5002.21 d
A,RT,F,Y_GE65,A-R_V-Y,TR71	4272.89 d	4303.49 d	4647.57 d	4414.97 d	4540.67 d	4617.43 d	5024.12 d	3340.64 d	3657.49 d	4937.89 d
A,RT,F,Y_GE65,A-R_V-Y,TR72	3706.2 d	4289.53 d	4633.64 d	4732.53 d	4717.17 d	4435.49 d	5050.34 d	3315.07 d	3791.42 d	5044.83 d
A,RT,F,Y_GE65,A-R_V-Y,TR8	3786.84 d	4380.53 d	4532.68 d	4413.84 d	4520.18 d	4399.57 d	4965.11 d	3345.01 d	3569.27 d	5031.22 d
A,RT,F,Y_GE65,A-R_V-Y,TR81	4908.87 d	4467.98 d	4653.16 d	4676.8 d	4653.61 d	4635.74 d	5283.33 d	3601.38 d	3397.08 d	5188.24 d
A,RT,F,Y_GE65,A-R_V-Y,TR82	3641.3 d	4200.04 d	4435.92 d	4357.26 d	4366.59 d	4335.54 d	4984.65 d	3230.71 d	3661.05 d	4945.11 d
A,RT,F,Y_GE65,A-R_V-Y,TR83	3433.99 d	4420.52 d	4529.2 d	4338.09 d	4532.4 d	4341.25 d	4838.77 d	3294.23 d	3593.57 d	5008.76 d
A,RT,F,Y_GE65,A-R_V-Y,TR9	3057.7 d	3284.36 d	3567.47 d	3531.38 d	3605.78 d	3680.76 d	4214.11 d	2722.42 d	2879.44 d	4124.91 d
A,RT,F,Y_GE65,A-R_V-Y,TR90	3057.7 d	3284.36 d	3567.47 d	3531.38 d	3605.78 d	3680.76 d	4214.11 d	2722.42 d	2879.44 d	4124.91 d
A,RT,F,Y_GE65,A-R_V-Y,TRA	2936.46 d	4060.18 d	4382.38 d	4256.58 d	4312.32 d	4375.2 d	4936.99 d	3385.15 d	3755.17 d	4776.26 d
A,RT,F,Y_GE65,A-R_V-Y,TRA1	3224.43 d	4100.12 d	4250.84 d	4288.21 d	4232.79 d	4433.88 d	4942.95 d	3409.56 d	3750.11 d	4823.4 d
A,RT,F,Y_GE65,A-R_V-Y,TRA2	2490.98 d	3991.07 d	4570.78 d	4204.57 d	4428.61 d	4277.55 d	4921.63 d	3343.13 d	3761.46 d	4700.7 d
A,RT,F,Y_GE65,A-R_V-Y,TRB	2675.49 d	3541.25 d	3780.78 d	3824.55 d	3922.55 d	3977.76 d	4833.57 d	3143.58 d	3833.11 d	4611.52 d
A,RT,F,Y_GE65,A-R_V-Y,TRB1	3140.58 d	3632.7 d	3854.66 d	3808.98 d	3913.99 d	3935.72 d	4670.91 d	2921.69 d	3559.03 d	4462.27 d
A,RT,F,Y_GE65,A-R_V-Y,TRB2	1740 d	3346.45 d	3619.06 d	3829.65 d	3928.81 d	4056.22 d	5141.52 d	3563.8 d	4354.29 d	4869.92 d
A,RT,F,Y_GE65,A-R_V-Y,TRC	2877.23 d	3362.13 d	3700.44 d	3679.54 d	4057.58 d	3647.72 d	4643.24 d	3284.35 d	4044.79 d	4691.87 d
A,RT,F,Y_GE65,A-R_V-Y,TRC1	3576.98 d	4054.76 d	4269 d	4220.85 d	4775.91 d	4260.47 d	5357.77 d	3647.47 d	4351.34 d	5108.19 d
A,RT,F,Y_GE65,A-R_V-Y,TRC2	2617.8 d	3203.2 d	3521.02 d	3472.11 d	3688.07 d	3404.06 d	4318.77 d	3182.38 d	4010.93 d	4765.37 d
A,RT,F,Y_GE65,A-R_V-Y,TRC3	2258.36 d	2619.2 d	3165.32 d	3230.17 d	3595.26 d	3167.95 d	4149.78 d	2916.85 d	3648.74 d	4054.17 d
A,RT,F,Y_GE65,A-R_V-Y,UK	3871.78 	3811.89 	3710.25 	3863.03 	3763.2 	3760.68 	3689.4 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKC	4362.6 	4261.41 	4101.2 	4403.82 	4217.08 	4255.83 	4213.46 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKC1	4319.04 	4332.08 	4090.99 	4382.77 	4277.27 	4297.15 	4265.74 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKC2	4398.53 	4204.72 	4108.74 	4420.35 	4166.94 	4222.82 	4172.29 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD	4189.58 	4152.59 	4016.63 	4158.58 	4102.62 	4050.82 	4022.92 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD1	3847.16 	3737.63 	3629.3 	3796.22 	3747.9 	3789.33 	3520.35 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD3	4334.62 	4323.52 	4200.91 	4368.43 	4247.9 	4253.35 	4157.19 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD4	4190.23 	4163.89 	4030.57 	4084.41 	4101.22 	4058.88 	4118.77 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD6	3952.48 	3747.9 	3665.4 	3813.7 	3806.66 	3717.94 	3675.66 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKD7	4248.22 	4311.44 	4111.57 	4285.03 	4221.91 	4066.99 	4168.24 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKE	4058.2 	4021.46 	3913.89 	3982.11 	3957.26 	3936.67 	3939.88 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKE1	4177.45 	4010.52 	3941.44 	4130.37 	3972.2 	4093.6 	3979.09 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKE2	3621.06 	3526.7 	3478.25 	3494.89 	3433.2 	3440.55 	3421.73 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKE3	4127.27 	4228.44 	4074.7 	4091.19 	4174.2 	4029.82 	4064.36 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKE4	4161.17 	4128.87 	4006.05 	4078.44 	4068.66 	4048.04 	4098.55 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKF	3870.59 	3798.85 	3699.89 	3969.63 	3792.92 	3825.85 	3781.95 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKF1	3959.78 	3884.46 	3795.82 	4117.77 	3917.33 	3939.75 	3870.51 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKF2	3775.85 	3678.75 	3566.52 	3787.8 	3659.69 	3643.51 	3613.14 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKF3	3823.14 	3808.66 	3709.87 	3953.39 	3735.03 	3892.26 	3886.31 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKG	3803.42 	3802.49 	3686.32 	3867.75 	3722.64 	3788.17 	3792.82 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKG1	3596.73 	3589.54 	3496.6 	3609.36 	3545.55 	3479.2 	3598.38 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKG2	3907.83 	3908.6 	3730.84 	3955.14 	3848.68 	3901.15 	3817.27 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKG3	3861.96 	3861.94 	3777.7 	3970.95 	3749.41 	3912.79 	3907.87 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKH	3620.86 	3549.16 	3493.46 	3627.08 	3537.35 	3562.82 	3526.66 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKH1	3508.63 	3510.44 	3362.35 	3511.17 	3416.36 	3450.93 	3409.08 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKH2	3676.01 	3508.53 	3501.06 	3704.95 	3447.28 	3504.59 	3509.38 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKH3	3736.94 	3641.91 	3680.25 	3731.42 	3794.08 	3779.96 	3717.32 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI	3486.3 	3388.63 	3368.31 	3431.62 	3270.02 	3242.94 	3237.74 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI3	3174.3 	3042.54 	2894.41 	3118.07 	2866.44 	2886.87 	2777.82 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI4	3627.85 	3573.48 	3622.36 	3696.29 	3422.55 	3373.38 	3503.07 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI5	3651.29 	3536.24 	3508.27 	3607.42 	3478.77 	3427.03 	3368.18 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI6	3543.61 	3427.3 	3489.5 	3376.22 	3390.18 	3249.93 	3382.42 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKI7	3318.72 	3235.82 	3171.09 	3255.63 	3054.82 	3132.65 	3041.48 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKJ	3550.75 	3484.12 	3411.84 	3502.39 	3446.66 	3406.53 	3383.68 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKJ1	3517.67 	3447.83 	3384.62 	3375.57 	3368.79 	3264.16 	3251.49 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKJ2	3456.06 	3376.85 	3308.29 	3463.04 	3365.99 	3346.09 	3293.8 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKJ3	3595.93 	3514.35 	3363.57 	3492.4 	3438.15 	3440.04 	3385.22 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKJ4	3707.58 	3677.5 	3673.92 	3728.96 	3685.2 	3636.85 	3690.71 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKK	3518.26 	3535.08 	3359.24 	3571.53 	3542.36 	3507.59 	3424.18 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKK1	3530.26 	3642.23 	3422 	3583.74 	3599.6 	3540.54 	3416.59 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKK2	3383.92 	3345.64 	3242.89 	3546.5 	3388.3 	3397.02 	3304.43 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKK3	3650.57 	3790.71 	3403.97 	3671.35 	3657.93 	3658.65 	3606.67 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKK4	3597.38 	3459.41 	3375.05 	3540.16 	3575.81 	3509.54 	3494.15 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKL	4001.56 	3967.54 	3893.08 	4036.58 	3938.96 	3848.96 	3913.15 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKL1	4126.36 	4046.86 	3963.55 	4140.24 	4031.01 	3946.32 	3998.91 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKL2	3763.09 	3815.93 	3761.05 	3841.27 	3763.41 	3665.89 	3751.08 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM	4537.88 	4366.74 	4250.97 	4475.94 	4293.54 	4400.49 	4286.28 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM5	4402.15 	4232.6 	4205.37 	4347.47 	4162.19 	4215.6 	3970.34 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM6	4073.24 	3884.17 	3732.47 	4110.06 	3696.27 	4039.34 	4040.03 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM7	4390.76 	4267.25 	4032.64 	4271.87 	4217.4 	4175.99 	4132.38 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM8	4937.8 	4661.29 	4599.14 	4814.85 	4671.87 	4845.44 	4578.59 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKM9	4547.64 	4445.97 	4463.21 	4636.82 	4287.79 	4482.12 	4442.64 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKN	4037.53 	3977.27 	3874.02 	3939.85 	3928.19 	3905.77 	3863.38 	: 	: 	: 
A,RT,F,Y_GE65,A-R_V-Y,UKN0	4037.53 	3977.27 	3874.02 	3939.85 	3928.19 	3905.77 	3863.38 	: 	: 	: 
A,RT,F,Y_LT65,A-R_V-Y,AT	128.27 	125.27 	126.42 	121.47 	118.44 	114.69 	114.85 	110.88 	111.59 	111.89 
A,RT,F,Y_LT65,A-R_V-Y,AT1	139.21 	134.23 	136.24 	128.66 	127.73 	120.68 	126.14 	116.21 	121.73 	124.54 
A,RT,F,Y_LT65,A-R_V-Y,AT11	130.23 	112.1 	122.17 	114.14 	118.82 	110.9 	115.79 	88.68 	95.75 	113.12 
A,RT,F,Y_LT65,A-R_V-Y,AT12	124.3 	119.23 	122.5 	120.82 	115.57 	114.77 	114.14 	110.95 	114.99 	118.89 
A,RT,F,Y_LT65,A-R_V-Y,AT13	155.48 	152.94 	152.81 	139.76 	141.75 	128.23 	139.84 	126.28 	132.1 	133.92 
A,RT,F,Y_LT65,A-R_V-Y,AT2	131.08 	123.27 	124.84 	120.53 	114.27 	116.65 	109.77 	107.51 	102.79 	108.9 
A,RT,F,Y_LT65,A-R_V-Y,AT21	130.42 	126.33 	130.36 	121.27 	110.83 	121.58 	117.29 	110.32 	100.47 	114.36 
A,RT,F,Y_LT65,A-R_V-Y,AT22	131.29 	121.91 	122.21 	120.25 	115.9 	114.35 	106.39 	106.02 	103.97 	106.32 
A,RT,F,Y_LT65,A-R_V-Y,AT3	110.44 	112.38 	112 	110.78 	106.5 	103.73 	101.82 	102.04 	102.68 	96.54 
A,RT,F,Y_LT65,A-R_V-Y,AT31	111.94 	111.39 	114.66 	112.91 	103.17 	106.84 	104.37 	99.82 	103.51 	96.33 
A,RT,F,Y_LT65,A-R_V-Y,AT32	116.7 	115.4 	103.95 	103.9 	108.47 	109.25 	105.74 	99.21 	105.84 	100.94 
A,RT,F,Y_LT65,A-R_V-Y,AT33	111.46 	112.94 	118.31 	114.34 	115.82 	95.67 	95.46 	114.72 	98.73 	90.82 
A,RT,F,Y_LT65,A-R_V-Y,AT34	93.71 	109.53 	101.05 	105.71 	97.8 	99.18 	98.67 	89.89 	102.44 	102.93 
A,RT,F,Y_LT65,A-R_V-Y,BE	149.49 	150.41 	140.5 	146.26 	137.75 	134.73 	135.44 	128.97 	131.22 	126.45 
A,RT,F,Y_LT65,A-R_V-Y,BE1	157.74 	145.13 	135.58 	129.64 	121.6 	123.33 	129.69 	120.54 	127.87 	128.37 
A,RT,F,Y_LT65,A-R_V-Y,BE10	157.74 	145.13 	135.58 	129.64 	121.6 	123.33 	129.69 	120.54 	127.87 	128.37 
A,RT,F,Y_LT65,A-R_V-Y,BE2	131.97 	134.09 	124.86 	126.39 	120.24 	119.56 	117.91 	114.28 	111.71 	106.6 
A,RT,F,Y_LT65,A-R_V-Y,BE21	130.7 	132.93 	129.14 	127.83 	120.05 	120.62 	116.77 	113.62 	106.63 	109.7 
A,RT,F,Y_LT65,A-R_V-Y,BE22	119.76 	120.49 	117.53 	124.05 	120.48 	109.97 	112.78 	105.54 	115.82 	104.47 
A,RT,F,Y_LT65,A-R_V-Y,BE23	138.17 	142.68 	123.1 	131.24 	119.67 	121.74 	122.4 	119.7 	112.53 	107.71 
A,RT,F,Y_LT65,A-R_V-Y,BE24	131.24 	127.73 	118.43 	113.31 	105.22 	107.61 	112.51 	107.8 	99.87 	90.49 
A,RT,F,Y_LT65,A-R_V-Y,BE25	136.42 	141.88 	132.59 	132.53 	134.51 	134.15 	123.1 	121.01 	127.46 	116.84 
A,RT,F,Y_LT65,A-R_V-Y,BE3	173.5 	177.55 	165.87 	182.81 	169.58 	160.78 	165.43 	154.43 	165.34 	159.31 
A,RT,F,Y_LT65,A-R_V-Y,BE31	125.65 	117.55 	128.34 	130.31 	125.51 	124.18 	125.84 	104.92 	108.62 	103.27 
A,RT,F,Y_LT65,A-R_V-Y,BE32	186.16 	193.01 	180.45 	197.22 	182.12 	167.08 	182.32 	163.01 	185.71 	178.49 
A,RT,F,Y_LT65,A-R_V-Y,BE33	162.93 	173.72 	161.46 	183.13 	161.72 	162.06 	165.2 	160.15 	168.94 	158.98 
A,RT,F,Y_LT65,A-R_V-Y,BE34	192.1 	193.31 	144.83 	190.46 	184.62 	151.55 	150.39 	149.21 	156.18 	144.57 
A,RT,F,Y_LT65,A-R_V-Y,BE35	190.69 	183.54 	177.42 	181.43 	181.79 	176.27 	160.09 	162.44 	153.88 	163.28 
A,RT,F,Y_LT65,A-R_V-Y,BG	225.42 	214.52 	235.35 	227.5 	228.2 	227.4 	226.44 	214.87 	256.14 	320.22 
A,RT,F,Y_LT65,A-R_V-Y,BG3	237.64 	218.55 	248.6 	237.33 	237.37 	241.46 	241.45 	226.71 	275.13 	349.6 
A,RT,F,Y_LT65,A-R_V-Y,BG31	258.5 	237.87 	272.02 	246.99 	264.5 	266.5 	263.99 	251.14 	300.46 	366.37 
A,RT,F,Y_LT65,A-R_V-Y,BG32	228.03 	216.5 	246.48 	229.53 	225.36 	237.57 	234.72 	208.67 	263.37 	351.7 
A,RT,F,Y_LT65,A-R_V-Y,BG33	235.52 	200.76 	232.36 	229.03 	220.16 	227.2 	227.17 	219.14 	271.71 	333.35 
A,RT,F,Y_LT65,A-R_V-Y,BG34	232.36 	222.31 	247.46 	243.91 	242.58 	239.68 	243.31 	230.86 	269.33 	350.99 
A,RT,F,Y_LT65,A-R_V-Y,BG4	210.73 	207.4 	217.75 	213.56 	215.82 	210.39 	209.73 	200.92 	235.85 	288.72 
A,RT,F,Y_LT65,A-R_V-Y,BG41	214.97 	214.59 	221.97 	214.95 	221.57 	213.49 	217.31 	200.42 	237.07 	291.99 
A,RT,F,Y_LT65,A-R_V-Y,BG42	205.16 	198.04 	212.07 	212.17 	207.88 	206.88 	199.83 	202.72 	235.67 	286.44 
A,RT,F,Y_LT65,A-R_V-Y,CH	108.79 	105.62 	99.6 	100.27 	99.26 	91.53 	97.02 	90.21 	91.08 	90.5 
A,RT,F,Y_LT65,A-R_V-Y,CH0	107.74 	104.28 	98.25 	98.87 	97.9 	90.24 	95.67 	89.22 	90.44 	89.41 
A,RT,F,Y_LT65,A-R_V-Y,CH01	109.81 	105.63 	91.94 	93.39 	95.13 	90.94 	92.28 	84.9 	88.48 	84.35 
A,RT,F,Y_LT65,A-R_V-Y,CH02	107.71 	107.18 	106.63 	104.52 	108.36 	96.27 	102.52 	92.95 	99.84 	95.09 
A,RT,F,Y_LT65,A-R_V-Y,CH03	110.66 	105.58 	99.64 	99.88 	99.94 	93.95 	106.08 	91.88 	87.43 	92.6 
A,RT,F,Y_LT65,A-R_V-Y,CH04	103.74 	103.99 	99.48 	101.3 	88.28 	87.74 	86.08 	90.35 	87.79 	86.46 
A,RT,F,Y_LT65,A-R_V-Y,CH05	112.88 	106.19 	97.94 	98.58 	103.46 	90.8 	98.18 	94.11 	88.82 	95.64 
A,RT,F,Y_LT65,A-R_V-Y,CH06	101.47 	96.38 	88.69 	91.45 	86.93 	76.73 	90.88 	77.84 	85.54 	79.98 
A,RT,F,Y_LT65,A-R_V-Y,CH07	102.49 	91.37 	93.79 	96.25 	92.49 	82.51 	82.2 	84.43 	87.02 	87.6 
A,RT,F,Y_LT65,A-R_V-Y,CY	90.38 	77.97 	92.63 	99.2 	86.05 	97.99 	98.17 	98.25 	103.1 	117.4 
A,RT,F,Y_LT65,A-R_V-Y,CY0	90.38 	77.97 	92.63 	99.2 	86.05 	97.99 	98.17 	98.25 	103.1 	117.4 
A,RT,F,Y_LT65,A-R_V-Y,CY00	90.38 	77.97 	92.63 	99.2 	86.05 	97.99 	98.17 	98.25 	103.1 	117.4 
A,RT,F,Y_LT65,A-R_V-Y,CZ	161.71 	157.34 	147.68 	147.52 	145.11 	142.46 	143.63 	143.18 	148.82 	170.74 
A,RT,F,Y_LT65,A-R_V-Y,CZ0	161.07 	156.63 	147.07 	146.96 	144.65 	141.88 	142.9 	142.82 	148.27 	170.25 
A,RT,F,Y_LT65,A-R_V-Y,CZ01	146.62 	134.79 	135.92 	126.46 	135.56 	121.69 	116.52 	120.22 	122.66 	141.08 
A,RT,F,Y_LT65,A-R_V-Y,CZ02	153.19 	146.6 	140.75 	143.62 	140.83 	141.67 	140.08 	131.86 	155.85 	159.58 
