ISO3,year,month,day,vaccines,country
ALB,2020,7,20,,Albania
ALB,2020,7,21,,Albania
ALB,2020,7,22,,Albania
ALB,2020,7,23,,Albania
ALB,2020,7,24,,Albania
ALB,2020,7,25,,Albania
ALB,2020,7,26,,Albania
ALB,2020,7,27,,Albania
ALB,2020,7,28,,Albania
ALB,2020,7,29,,Albania
ALB,2020,7,30,,Albania
ALB,2020,7,31,,Albania
ALB,2020,8,1,,Albania
ALB,2020,8,2,,Albania
ALB,2020,8,3,,Albania
ALB,2020,8,4,,Albania
ALB,2020,8,5,,Albania
ALB,2020,8,6,,Albania
ALB,2020,8,7,,Albania
ALB,2020,8,8,,Albania
ALB,2020,8,9,,Albania
ALB,2020,8,10,,Albania
ALB,2020,8,11,,Albania
ALB,2020,8,12,,Albania
ALB,2020,8,13,,Albania
ALB,2020,8,14,,Albania
ALB,2020,8,15,,Albania
ALB,2020,8,16,,Albania
ALB,2020,8,17,,Albania
ALB,2020,8,18,,Albania
ALB,2020,8,19,,Albania
ALB,2020,8,20,,Albania
ALB,2020,8,21,,Albania
ALB,2020,8,22,,Albania
ALB,2020,8,23,,Albania
ALB,2020,8,24,,Albania
ALB,2020,8,25,,Albania
ALB,2020,8,26,,Albania
ALB,2020,8,27,,Albania
ALB,2020,8,28,,Albania
ALB,2020,8,29,,Albania
ALB,2020,8,30,,Albania
ALB,2020,8,31,,Albania
ALB,2020,9,1,,Albania
ALB,2020,9,2,,Albania
ALB,2020,9,3,,Albania
ALB,2020,9,4,,Albania
ALB,2020,9,5,,Albania
ALB,2020,9,6,,Albania
ALB,2020,9,7,,Albania
ALB,2020,9,8,,Albania
ALB,2020,9,9,,Albania
ALB,2020,9,10,,Albania
ALB,2020,9,11,,Albania
ALB,2020,9,12,,Albania
ALB,2020,9,13,,Albania
ALB,2020,9,14,,Albania
ALB,2020,9,15,,Albania
ALB,2020,9,16,,Albania
ALB,2020,9,17,,Albania
ALB,2020,9,18,,Albania
ALB,2020,9,19,,Albania
ALB,2020,9,20,,Albania
ALB,2020,9,21,,Albania
ALB,2020,9,22,,Albania
ALB,2020,9,23,,Albania
ALB,2020,9,24,,Albania
ALB,2020,9,25,,Albania
ALB,2020,9,26,,Albania
ALB,2020,9,27,,Albania
ALB,2020,9,28,,Albania
ALB,2020,9,29,,Albania
ALB,2020,9,30,,Albania
ALB,2020,10,1,,Albania
ALB,2020,10,2,,Albania
ALB,2020,10,3,,Albania
ALB,2020,10,4,,Albania
ALB,2020,10,5,,Albania
ALB,2020,10,6,,Albania
ALB,2020,10,7,,Albania
ALB,2020,10,8,,Albania
ALB,2020,10,9,,Albania
ALB,2020,10,10,,Albania
ALB,2020,10,11,,Albania
ALB,2020,10,12,,Albania
ALB,2020,10,13,,Albania
ALB,2020,10,14,,Albania
ALB,2020,10,15,,Albania
ALB,2020,10,16,,Albania
ALB,2020,10,17,,Albania
ALB,2020,10,18,,Albania
ALB,2020,10,19,,Albania
ALB,2020,10,20,,Albania
ALB,2020,10,21,,Albania
ALB,2020,10,22,,Albania
ALB,2020,10,23,,Albania
ALB,2020,10,24,,Albania
ALB,2020,10,25,,Albania
ALB,2020,10,26,,Albania
ALB,2020,10,27,,Albania
ALB,2020,10,28,,Albania
ALB,2020,10,29,,Albania
ALB,2020,10,30,,Albania
ALB,2020,10,31,,Albania
ALB,2020,11,1,,Albania
ALB,2020,11,2,,Albania
ALB,2020,11,3,,Albania
ALB,2020,11,4,,Albania
ALB,2020,11,5,,Albania
ALB,2020,11,6,,Albania
ALB,2020,11,7,,Albania
ALB,2020,11,8,,Albania
ALB,2020,11,9,,Albania
ALB,2020,11,10,,Albania
ALB,2020,11,11,,Albania
ALB,2020,11,12,,Albania
ALB,2020,11,13,,Albania
ALB,2020,11,14,,Albania
ALB,2020,11,15,,Albania
ALB,2020,11,16,,Albania
ALB,2020,11,17,,Albania
ALB,2020,11,18,,Albania
ALB,2020,11,19,,Albania
ALB,2020,11,20,,Albania
ALB,2020,11,21,,Albania
ALB,2020,11,22,,Albania
ALB,2020,11,23,,Albania
ALB,2020,11,24,,Albania
ALB,2020,11,25,,Albania
ALB,2020,11,26,,Albania
ALB,2020,11,27,,Albania
ALB,2020,11,28,,Albania
ALB,2020,11,29,,Albania
ALB,2020,11,30,,Albania
ALB,2020,12,1,,Albania
ALB,2020,12,2,,Albania
ALB,2020,12,3,,Albania
ALB,2020,12,4,,Albania
ALB,2020,12,5,,Albania
ALB,2020,12,6,,Albania
ALB,2020,12,7,,Albania
ALB,2020,12,8,,Albania
ALB,2020,12,9,,Albania
ALB,2020,12,10,,Albania
ALB,2020,12,11,,Albania
ALB,2020,12,12,,Albania
ALB,2020,12,13,,Albania
ALB,2020,12,14,,Albania
ALB,2020,12,15,,Albania
ALB,2020,12,16,,Albania
ALB,2020,12,17,,Albania
ALB,2020,12,18,,Albania
ALB,2020,12,19,,Albania
ALB,2020,12,20,,Albania
ALB,2020,12,21,,Albania
ALB,2020,12,22,,Albania
ALB,2020,12,23,,Albania
ALB,2020,12,24,,Albania
ALB,2020,12,25,,Albania
ALB,2020,12,26,,Albania
ALB,2020,12,27,,Albania
ALB,2020,12,28,,Albania
ALB,2020,12,29,,Albania
ALB,2020,12,30,,Albania
ALB,2020,12,31,,Albania
ALB,2021,1,1,,Albania
ALB,2021,1,2,,Albania
ALB,2021,1,3,,Albania
ALB,2021,1,4,,Albania
ALB,2021,1,5,,Albania
ALB,2021,1,6,,Albania
ALB,2021,1,7,,Albania
ALB,2021,1,8,,Albania
ALB,2021,1,9,,Albania
ALB,2021,1,10,0.0,Albania
ALB,2021,1,11,0.0,Albania
ALB,2021,1,12,128.0,Albania
ALB,2021,1,13,188.0,Albania
ALB,2021,1,14,266.0,Albania
ALB,2021,1,15,308.0,Albania
ALB,2021,1,16,369.0,Albania
ALB,2021,1,17,405.0,Albania
ALB,2021,1,18,447.0,Albania
ALB,2021,1,19,483.0,Albania
ALB,2021,1,20,519.0,Albania
ALB,2021,1,21,549.0,Albania
ALB,2021,1,22,549.0,Albania
ALB,2021,1,23,549.0,Albania
ALB,2021,1,24,549.0,Albania
ALB,2021,1,25,549.0,Albania
ALB,2021,1,26,549.0,Albania
ALB,2021,1,27,549.0,Albania
ALB,2021,1,28,549.0,Albania
ALB,2021,1,29,549.0,Albania
ALB,2021,1,30,549.0,Albania
ALB,2021,1,31,549.0,Albania
ALB,2021,2,1,549.0,Albania
ALB,2021,2,2,549.0,Albania
ALB,2021,2,3,549.0,Albania
ALB,2021,2,4,549.0,Albania
ALB,2021,2,5,549.0,Albania
ALB,2021,2,6,549.0,Albania
ALB,2021,2,7,549.0,Albania
ALB,2021,2,8,549.0,Albania
ALB,2021,2,9,689.0,Albania
ALB,2021,2,10,689.0,Albania
ALB,2021,2,11,689.0,Albania
ALB,2021,2,12,689.0,Albania
ALB,2021,2,13,689.0,Albania
ALB,2021,2,14,689.0,Albania
ALB,2021,2,15,689.0,Albania
ALB,2021,2,16,689.0,Albania
ALB,2021,2,17,1090.0,Albania
ALB,2021,2,18,2438.0,Albania
ALB,2021,2,19,2438.0,Albania
ALB,2021,2,20,2438.0,Albania
ALB,2021,2,21,2438.0,Albania
ALB,2021,2,22,6073.0,Albania
ALB,2021,2,23,6073.0,Albania
ALB,2021,2,24,6073.0,Albania
ALB,2021,2,25,6073.0,Albania
ALB,2021,2,26,6073.0,Albania
ALB,2021,2,27,6073.0,Albania
ALB,2021,2,28,6073.0,Albania
ALB,2021,3,1,6073.0,Albania
ALB,2021,3,2,6073.0,Albania
ALB,2021,3,3,6073.0,Albania
ALB,2021,3,4,6073.0,Albania
ALB,2021,3,5,6073.0,Albania
ALB,2021,3,6,6073.0,Albania
ALB,2021,3,7,6073.0,Albania
ALB,2021,3,8,6073.0,Albania
ALB,2021,3,9,6073.0,Albania
ALB,2021,3,10,6073.0,Albania
ALB,2021,3,11,6073.0,Albania
ALB,2021,3,12,6073.0,Albania
ALB,2021,3,13,6073.0,Albania
ALB,2021,3,14,6073.0,Albania
ALB,2021,3,15,6073.0,Albania
ALB,2021,3,16,6073.0,Albania
ALB,2021,3,17,6073.0,Albania
ALB,2021,3,18,6073.0,Albania
ALB,2021,3,19,6073.0,Albania
ALB,2021,3,20,6073.0,Albania
ALB,2021,3,21,6073.0,Albania
ALB,2021,3,22,6073.0,Albania
ALB,2021,3,23,6073.0,Albania
ALB,2021,3,24,6073.0,Albania
ALB,2021,3,25,6073.0,Albania
ALB,2021,3,26,6073.0,Albania
ALB,2021,3,27,6073.0,Albania
ALB,2021,3,28,6073.0,Albania
ALB,2021,3,29,6073.0,Albania
ALB,2021,3,30,6073.0,Albania
ALB,2021,3,31,6073.0,Albania
ALB,2021,4,1,6073.0,Albania
ALB,2021,4,2,6073.0,Albania
ALB,2021,4,3,6073.0,Albania
ALB,2021,4,4,6073.0,Albania
ALB,2021,4,5,6073.0,Albania
ALB,2021,4,6,6073.0,Albania
ALB,2021,4,7,6073.0,Albania
ALB,2021,4,8,6073.0,Albania
ALB,2021,4,9,6073.0,Albania
ALB,2021,4,10,6073.0,Albania
ALB,2021,4,11,6073.0,Albania
ALB,2021,4,12,6073.0,Albania
ALB,2021,4,13,6073.0,Albania
ALB,2021,4,14,6073.0,Albania
ALB,2021,4,15,6073.0,Albania
ALB,2021,4,16,6073.0,Albania
ALB,2021,4,17,6073.0,Albania
ALB,2021,4,18,6073.0,Albania
ALB,2021,4,19,6073.0,Albania
ALB,2021,4,20,6073.0,Albania
ALB,2021,4,21,6073.0,Albania
ALB,2021,4,22,6073.0,Albania
ALB,2021,4,23,6073.0,Albania
ALB,2021,4,24,6073.0,Albania
ALB,2021,4,25,6073.0,Albania
ALB,2021,4,26,6073.0,Albania
ALB,2021,4,27,6073.0,Albania
ALB,2021,4,28,6073.0,Albania
ALB,2021,4,29,6073.0,Albania
ALB,2021,4,30,6073.0,Albania
ALB,2021,5,1,6073.0,Albania
ALB,2021,5,2,6073.0,Albania
ALB,2021,5,3,6073.0,Albania
ALB,2021,5,4,6073.0,Albania
ALB,2021,5,5,6073.0,Albania
ALB,2021,5,6,6073.0,Albania
ALB,2021,5,7,6073.0,Albania
ALB,2021,5,8,6073.0,Albania
ALB,2021,5,9,6073.0,Albania
ALB,2021,5,10,6073.0,Albania
ALB,2021,5,11,440921.0,Albania
ALB,2021,5,12,444755.0,Albania
ALB,2021,5,13,445402.0,Albania
ALB,2021,5,14,448571.0,Albania
ALB,2021,5,15,448571.0,Albania
ALB,2021,5,16,448571.0,Albania
ALB,2021,5,17,456980.0,Albania
ALB,2021,5,18,460191.0,Albania
ALB,2021,5,19,463402.0,Albania
ALB,2021,5,20,466083.0,Albania
ALB,2021,5,21,469169.0,Albania
ALB,2021,5,22,469169.0,Albania
ALB,2021,5,23,472840.0,Albania
ALB,2021,5,24,475237.0,Albania
ALB,2021,5,25,475237.0,Albania
ALB,2021,5,26,479789.0,Albania
ALB,2021,5,27,481788.0,Albania
ALB,2021,5,28,481788.0,Albania
ALB,2021,5,29,481788.0,Albania
ALB,2021,5,30,485162.0,Albania
ALB,2021,5,31,486128.0,Albania
ALB,2021,6,1,487078.0,Albania
ALB,2021,6,2,487078.0,Albania
ALB,2021,6,3,490050.0,Albania
ALB,2021,6,4,490050.0,Albania
ALB,2021,6,5,490050.0,Albania
ALB,2021,6,6,492522.0,Albania
ALB,2021,6,7,493346.0,Albania
ALB,2021,6,8,494437.0,Albania
ALB,2021,6,9,496024.0,Albania
ALB,2021,6,10,498437.0,Albania
ALB,2021,6,11,501735.0,Albania
ALB,2021,6,12,503721.0,Albania
ALB,2021,6,13,504257.0,Albania
ALB,2021,6,14,507764.0,Albania
ALB,2021,6,15,507854.0,Albania
ALB,2021,6,16,509282.0,Albania
ALB,2021,6,17,511175.0,Albania
ALB,2021,6,18,511175.0,Albania
