ISO2,ISO3,country,year,month,day,deaths
AL,ALB,Albania,2020,5,21,31
AL,ALB,Albania,2020,5,22,31
AL,ALB,Albania,2020,5,23,31
AL,ALB,Albania,2020,5,24,31
AL,ALB,Albania,2020,5,25,31
AL,ALB,Albania,2020,5,26,32
AL,ALB,Albania,2020,5,27,32
AL,ALB,Albania,2020,5,28,33
AL,ALB,Albania,2020,5,29,33
AL,ALB,Albania,2020,5,30,33
AL,ALB,Albania,2020,5,31,33
AL,ALB,Albania,2020,6,1,33
AL,ALB,Albania,2020,6,2,33
AL,ALB,Albania,2020,6,3,33
AL,ALB,Albania,2020,6,4,33
AL,ALB,Albania,2020,6,5,33
AL,ALB,Albania,2020,6,6,33
AL,ALB,Albania,2020,6,7,33
AL,ALB,Albania,2020,6,8,34
AL,ALB,Albania,2020,6,9,34
AL,ALB,Albania,2020,6,10,34
AL,ALB,Albania,2020,6,11,34
AL,ALB,Albania,2020,6,12,34
AL,ALB,Albania,2020,6,13,35
AL,ALB,Albania,2020,6,14,36
AL,ALB,Albania,2020,6,15,36
AL,ALB,Albania,2020,6,16,36
AL,ALB,Albania,2020,6,17,36
AL,ALB,Albania,2020,6,18,37
AL,ALB,Albania,2020,6,19,38
AL,ALB,Albania,2020,6,20,39
AL,ALB,Albania,2020,6,21,42
AL,ALB,Albania,2020,6,22,43
AL,ALB,Albania,2020,6,23,44
AL,ALB,Albania,2020,6,24,44
AL,ALB,Albania,2020,6,25,45
AL,ALB,Albania,2020,6,26,47
AL,ALB,Albania,2020,6,27,49
AL,ALB,Albania,2020,6,28,51
AL,ALB,Albania,2020,6,29,53
AL,ALB,Albania,2020,6,30,55
AL,ALB,Albania,2020,7,1,58
AL,ALB,Albania,2020,7,2,62
AL,ALB,Albania,2020,7,3,65
AL,ALB,Albania,2020,7,4,69
AL,ALB,Albania,2020,7,5,72
AL,ALB,Albania,2020,7,6,74
AL,ALB,Albania,2020,7,7,76
AL,ALB,Albania,2020,7,8,79
AL,ALB,Albania,2020,7,9,81
AL,ALB,Albania,2020,7,10,83
AL,ALB,Albania,2020,7,11,83
AL,ALB,Albania,2020,7,12,85
AL,ALB,Albania,2020,7,13,89
AL,ALB,Albania,2020,7,14,93
AL,ALB,Albania,2020,7,15,95
AL,ALB,Albania,2020,7,16,97
AL,ALB,Albania,2020,7,17,101
AL,ALB,Albania,2020,7,18,104
AL,ALB,Albania,2020,7,19,107
AL,ALB,Albania,2020,7,20,111
AL,ALB,Albania,2020,7,21,112
AL,ALB,Albania,2020,7,22,113
AL,ALB,Albania,2020,7,23,117
AL,ALB,Albania,2020,7,24,120
AL,ALB,Albania,2020,7,25,123
AL,ALB,Albania,2020,7,26,128
AL,ALB,Albania,2020,7,27,134
AL,ALB,Albania,2020,7,28,138
AL,ALB,Albania,2020,7,29,144
AL,ALB,Albania,2020,7,30,148
AL,ALB,Albania,2020,7,31,150
AL,ALB,Albania,2020,8,1,154
AL,ALB,Albania,2020,8,2,157
AL,ALB,Albania,2020,8,3,161
AL,ALB,Albania,2020,8,4,166
AL,ALB,Albania,2020,8,5,172
AL,ALB,Albania,2020,8,6,176
AL,ALB,Albania,2020,8,7,182
AL,ALB,Albania,2020,8,8,188
AL,ALB,Albania,2020,8,9,189
AL,ALB,Albania,2020,8,10,193
AL,ALB,Albania,2020,8,11,199
AL,ALB,Albania,2020,8,12,200
AL,ALB,Albania,2020,8,13,205
AL,ALB,Albania,2020,8,14,208
AL,ALB,Albania,2020,8,15,213
AL,ALB,Albania,2020,8,16,219
AL,ALB,Albania,2020,8,17,225
AL,ALB,Albania,2020,8,18,228
AL,ALB,Albania,2020,8,19,230
AL,ALB,Albania,2020,8,20,232
AL,ALB,Albania,2020,8,21,234
AL,ALB,Albania,2020,8,22,238
AL,ALB,Albania,2020,8,23,240
AL,ALB,Albania,2020,8,24,245
AL,ALB,Albania,2020,8,25,250
AL,ALB,Albania,2020,8,26,254
AL,ALB,Albania,2020,8,27,259
AL,ALB,Albania,2020,8,28,263
AL,ALB,Albania,2020,8,29,266
AL,ALB,Albania,2020,8,30,271
AL,ALB,Albania,2020,8,31,275
AL,ALB,Albania,2020,9,1,280
AL,ALB,Albania,2020,9,2,284
AL,ALB,Albania,2020,9,3,290
AL,ALB,Albania,2020,9,4,296
AL,ALB,Albania,2020,9,5,301
AL,ALB,Albania,2020,9,6,306
AL,ALB,Albania,2020,9,7,312
AL,ALB,Albania,2020,9,8,316
AL,ALB,Albania,2020,9,9,319
AL,ALB,Albania,2020,9,10,321
AL,ALB,Albania,2020,9,11,322
AL,ALB,Albania,2020,9,12,324
AL,ALB,Albania,2020,9,13,327
AL,ALB,Albania,2020,9,14,330
AL,ALB,Albania,2020,9,15,334
AL,ALB,Albania,2020,9,16,338
AL,ALB,Albania,2020,9,17,340
AL,ALB,Albania,2020,9,18,343
AL,ALB,Albania,2020,9,19,348
AL,ALB,Albania,2020,9,20,353
AL,ALB,Albania,2020,9,21,358
AL,ALB,Albania,2020,9,22,362
AL,ALB,Albania,2020,9,23,364
AL,ALB,Albania,2020,9,24,367
AL,ALB,Albania,2020,9,25,370
AL,ALB,Albania,2020,9,26,370
AL,ALB,Albania,2020,9,27,373
AL,ALB,Albania,2020,9,28,375
AL,ALB,Albania,2020,9,29,377
AL,ALB,Albania,2020,9,30,380
AL,ALB,Albania,2020,10,1,384
AL,ALB,Albania,2020,10,2,387
AL,ALB,Albania,2020,10,3,388
AL,ALB,Albania,2020,10,4,389
AL,ALB,Albania,2020,10,5,392
AL,ALB,Albania,2020,10,6,396
AL,ALB,Albania,2020,10,7,400
AL,ALB,Albania,2020,10,8,403
AL,ALB,Albania,2020,10,9,407
AL,ALB,Albania,2020,10,10,411
AL,ALB,Albania,2020,10,11,413
AL,ALB,Albania,2020,10,12,416
AL,ALB,Albania,2020,10,13,420
AL,ALB,Albania,2020,10,14,424
AL,ALB,Albania,2020,10,15,429
AL,ALB,Albania,2020,10,16,434
AL,ALB,Albania,2020,10,17,439
AL,ALB,Albania,2020,10,18,443
AL,ALB,Albania,2020,10,19,448
AL,ALB,Albania,2020,10,20,451
AL,ALB,Albania,2020,10,21,454
AL,ALB,Albania,2020,10,22,458
AL,ALB,Albania,2020,10,23,462
AL,ALB,Albania,2020,10,24,465
AL,ALB,Albania,2020,10,25,469
AL,ALB,Albania,2020,10,26,473
AL,ALB,Albania,2020,10,27,477
AL,ALB,Albania,2020,10,28,480
AL,ALB,Albania,2020,10,29,487
AL,ALB,Albania,2020,10,30,493
AL,ALB,Albania,2020,10,31,499
AL,ALB,Albania,2020,11,1,502
AL,ALB,Albania,2020,11,2,509
AL,ALB,Albania,2020,11,3,518
AL,ALB,Albania,2020,11,4,527
AL,ALB,Albania,2020,11,5,532
AL,ALB,Albania,2020,11,6,536
